対象科目（管轄校）,事業実施者,就職率(%)／前期,就職率(%)／後期,就職率(%)／平均,総合評価
ネットワーク構築科（中央・城北センター有明分校）,ヒートウェーブ株式会社,70.4,86.2,78.6,B
ネットワーク構築科（中央・城北センター有明分校）（前年度実績）,ヒートウェーブ株式会社,69.2,60.9,65.3,B
貿易実務科（中央・城北センター有明分校）,株式会社東京リーガルマインド,70.0,82.6,75.5,B
貿易実務科（中央・城北センター有明分校）（前年度実績）,株式会社東京リーガルマインド,88.5,56.7,71.4,B
医療事務科（中央・城北センター）,ヒューマンアカデミー株式会社,89.3,54.5,74.0,B
医療事務科（中央・城北センター）（前年度実績）,ヒューマンアカデミー株式会社,78.6,69.0,73.7,B
医療事務科（多摩センター八王子校）,多摩職業能力開発センター八王子校,93.9,81.8,89.1,B
医療事務科（多摩センター八王子校）（前年度実績）,多摩職業能力開発センター八王子校,100.0,88.6,93.9,B
ビジネス経理科（中央・城北センター高年齢者校）,株式会社東京リーガルマインド,72.4,39.3,56.1,B
ビジネス経理科（中央・城北センター高年齢者校）（前年度実績）,株式会社東京リーガルマインド,62.1,24.0,44.4,B
経営管理実務科（中央・城北センター高年齢者校）,株式会社東京リーガルマインド,47.6,58.3,53.3,B
経営管理実務科（中央・城北センター高年齢者校）（前年度実績）,株式会社東京リーガルマインド,76.2,52.0,63.0,B
経営管理実務科（多摩センター府中校）,株式会社東京リーガルマインド,44.0,85.0,62.2,B
経営管理実務科（多摩センター府中校）（前年度実績）,株式会社東京リーガルマインド,85.7,90.0,87.5,B
