系統,こはん症,腐敗,ヘタ落ち,ヘタ枯れ
Ｉ系,10.0,1.3,0.0,10.0
Ｓ系,3.3,5.6,0.0,32.2
Ｏ系,9.4,18.8,1.2,85.9
Ｋ系,5.2,5.2,0.0,37.7
