,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
就職決定(件),6,9,9,9,3,4,8
就職決定（回答者割合）(%),21.4,39.1,40.9,42.9,10.7,17.4,42.1
自営(件),0,0,0,0,1,2,0
自営（回答者割合）(%),0.0,0.0,0.0,0.0,3.6,8.7,0.0
求職中(件),20,14,12,10,25,17,11
求職中（回答者割合）(%),71.4,60.9,54.5,47.6,89.3,73.9,57.9
就職予定なし(件),0,0,1,2,0,0,0
就職予定なし（回答者割合）(%),0.0,0.0,4.5,9.5,0.0,0.0,0.0
無回答(件),2,0,0,0,0,0,0
無回答（回答者割合）(%),7.1,0.0,0.0,0.0,0.0,0.0,0.0
