処理区・日焼け程度,糖度(Brix%),クエン酸含量(%),糖酸比
被覆,9.0,5.1,1.8
無被覆,9.0,5.0,1.8
無,9.1,5.2,1.7
軽,9.0,5.2,1.7
日焼け果／中,9.0,5.1,1.8
日焼け果／甚,9.0,4.8,1.9
