,ネットワーク構築科(中央・城北ｾﾝﾀｰ),貿易実務科(中央・城北ｾﾝﾀｰ),医療事務科(中央・城北ｾﾝﾀｰ),医療事務科(八王子校),ビジネス経理科(中央・城北ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ),経営管理実務科(多摩ｾﾝﾀｰ)
授業,22,19,19,18,23,17,11
授業（回答者割合）(%),78.6,82.6,86.4,85.7,82.1,73.9,57.9
就職支援,24,19,14,8,23,20,13
就職支援（回答者割合）(%),85.7,82.6,63.6,38.1,82.1,87.0,68.4
希望職種と無関係,6,12,3,0,8,10,9
希望職種と無関係（回答者割合）(%),21.4,52.2,13.6,0.0,28.6,43.5,47.4
求人紹介,6,3,0,7,2,4,3
求人紹介（回答者割合）(%),21.4,13.0,0.0,33.3,7.1,17.4,15.8
資格,10,7,4,9,5,4,2
資格（回答者割合）(%),35.7,30.4,18.2,42.9,17.9,17.4,10.5
その他,0,2,0,0,0,0,0
その他（回答者割合）(%),0.0,8.7,0.0,0.0,0.0,0.0,0.0
無回答,0,0,0,0,0,0,1
無回答（回答者割合）(%),0.0,0.0,0.0,0.0,0.0,0.0,5.3
