区分,補助対象貨物,補助率(%)
東京～父島間,鮮魚類・野菜・果物・植木・生花・切葉・球根･肥料・飼料,50
父島～母島間,鮮魚類・野菜・果物・植木・生花・切葉・球根･肥料・飼料,100
