試験区,種子／完全種子（粒）,種子／無核果率(%),果肉／じょうのう厚(mm),果肉／果心の大きさ(mm),果汁／果汁歩合(%),果汁／糖度(Brix%),果汁／クエン酸含量(%),収穫適期
春開花,18.9±1.0,0.0,0.33±0.01,8.6±0.3,40.8±0.5,7.4,4.23,9月上～10月中
夏開花,16.3±1.8,0.0,0.18±0.01,9.8±0.4,47.1±0.7,7.4,4.27,11月上～11月下
秋開花,7.2±1.0,10.0,0.28±0.03,7.2±0.4,44.4±0.7,7.0,4.21,4月下～5月下
