,計,都派遣,都ＯＢ,固有,国ＯＢ,民間
職員(人),1997,831,228,355,10,573
職員／管理職(人),258,82,40,56,8,72
職員／一般職(人),1739,749,188,299,2,501
職員／管理職比率(%),12.9,9.9,17.5,15.8,80.0,12.6
