年度(平成),定員,応募者数,入校者数,修了者数,就職者数,就職率(%)
16前期,30,236,30,27,25,92.6
16後期,30,146,31,31,26,83.9
17前期,30,235,30,30,22,73.3
17後期,30,157,30,28,25,89.3
18前期,30,202,30,28,22,78.6
18後期,30,83,30,29,20,69.0
19前期,30,164,30,28,25,89.3
19後期,30,94,30,22,12,54.5
