品種,系統個体,発芽期,開花期／始期,開花期／盛期,開花期／終期,自己摘心期,果実重(g),果肉歩合(%),糖度(Brix%),クエン酸含量(%),糖酸化
小笠原オレンジ,Ｋ系,2/13,3/17,3/26,3/29,3/26,216.9,78,11.2,0.9,12.2
小笠原オレンジ,Ｉ系,2/17,3/18,3/25,3/28,3/27,215.5,73.5,10.9,0.8,13.3
小笠原オレンジ,Ｏ系,2/18,3/19,3/27,3/31,4/1,218.9,76.1,10.7,1.1,9.8
小笠原オレンジ,Ｓ系,2/14,3/11,3/20,3/24,3/23,220.1,71.5,11,0.7,15.3
フロストバレンシア,,2/17,3/18,3/30,4/3,4/2,171,81.1,11.2,1.8,6.3
ワシントンネーブル,,2/27,3/18,4/1,4/9,3/29,ND,ND,ND,ND,ND
