"年度[西暦]","区 公園数[か所]","区 面積[平方メートル]","都 公園数[か所]","都 面積[平方メートル]","国 公園数[か所]","国 面積[平方メートル]","区民１人当たり面積[平方メートル毎人]"
2014,49,303276,8,775224,1,263716,5.66
2015,49,319927,8,776777,1,263716,5.62
2016,49,320048,8,776777,1,263716,5.52
2017,49,323183,8,776777,1,263716,5.43
2018,49,320187,8,776777,1,263716,5.33

"平成30年度港区行政資料集　管理別公園数及び面積","Ver201804",,,,,,
