"科目","金額[百万円]"
"年度[西暦]","2022"
"期間（自）","20220401"
"期間（至）","20230331"
"業務活動収支 業務支出","141258"
"業務活動収支 業務支出 業務費用支出","85242"
"業務活動収支 業務支出 業務費用支出 人件費支出","20829"
"業務活動収支 業務支出 業務費用支出 物件費等支出","61365"
"業務活動収支 業務支出 業務費用支出 支払利息支出","3"
"業務活動収支 業務支出 業務費用支出 その他の支出","3046"
"業務活動収支 業務支出 移転費用支出","56016"
"業務活動収支 業務支出 移転費用支出 補助金等支出","21325"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","26133"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","7084"
"業務活動収支 業務支出 移転費用支出 その他の支出","1473"
"業務活動収支 業務収入","167034"
"業務活動収支 業務収入 税収等収入","119997"
"業務活動収支 業務収入 国県等補助金収入","33345"
"業務活動収支 業務収入 使用料及び手数料収入","10189"
"業務活動収支 業務収入 その他の収入","3504"
"業務活動収支 臨時支出","-"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","-"
"業務活動収支 臨時収入","-"
"業務活動収支","25776"
"投資活動収支 投資活動支出","36501"
"投資活動収支 投資活動支出 公共施設等整備費支出","22061"
"投資活動収支 投資活動支出 基金積立金支出","13966"
"投資活動収支 投資活動支出 投資及び出資金支出","-"
"投資活動収支 投資活動支出 貸付金支出","473"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","10121"
"投資活動収支 投資活動収入 国県等補助金収入","4033"
"投資活動収支 投資活動収入 基金取崩収入","5546"
"投資活動収支 投資活動収入 貸付金元金回収収入","541"
"投資活動収支 投資活動収入 資産売却収入","0"
"投資活動収支 投資活動収入 その他の収入","-"
"投資活動収支","-26380"
"財務活動収支 財務活動支出","315"
"財務活動収支 財務活動支出 地方債償還支出","117"
"財務活動収支 財務活動支出 その他の支出","198"
"財務活動収支 財務活動収入","-"
"財務活動収支 財務活動収入 地方債発行収入","-"
"財務活動収支 財務活動収入 その他の収入","-"
"財務活動収支","-315"
"本年度資金収支額","-919"
"前年度末資金残高","12863"
"本年度末資金残高","11945"
"前年度末歳計外現金残高","7656"
"本年度歳計外現金増減額","588"
"本年度末歳計外現金残高","8244"
"本年度末現金預金残高","20188"

"一般会計財務書類（資金収支計算書）(令和4年4月1日から令和5年3月31日)","Ver202303"
