施設名,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
緑と花の学習園,緑化相談件数,427,423,442,148,180
緑と花の学習園,来園者数,10544,12779,11841,10559,9126
すみだ環境ふれあい館,来館者数,7476,7085,8264,8002,5610
すみだリサイクル活動センター,講習会開催回数,9,9,8,8,8
すみだリサイクル活動センター,講習会参加者数,158,156,160,178,136
すみだリサイクル活動センター,リサイクルショップ登録者数,5223,5431,5607,5786,5976
すみだリサイクル活動センター,リサイクルショップ売買点数,23382,24483,23103,21540,21960
すみだリサイクルセンター,来館者数,9451,8965,8372,7971,7383
すみだリサイクルセンター,展示品数,740,740,720,740,748
すみだリサイクルセンター,申込数,7115,7058,7306,7440,7185
