,,平成23年度[t],平成24年度[t],平成25年度[t],平成26年度[t],平成27年度[t]
墨田区,区収集,56921,56046.23,55111.12,54965.32,54644
墨田区,継続持込,,,,,
墨田区,臨時持込,556,474.19,498.52,444.39,660
墨田区,合計,57477,56520.42,55609.64,55409,55303
23区部,,2841435,2830538.44,2816808.74,2783318,2783984
