,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
集団回収,新聞[kg],4229130,4173955,3620480,3714585,3453215
集団回収,雑誌[kg],1515690,1469117,1294485,1373140,1281757
集団回収,段ボール[kg],1174320,1143038,1110120,1213947,1195054
集団回収,牛乳パック[kg],22881,22413,19644,21939,19864
集団回収,古布[kg],82233,74497,57372,58994,60613
集団回収,アルミ缶[kg],151952,148997,136816,152318,155637
集団回収,びん（活きびん）[kg],8062,6423,5910,5228,5109
集団回収,合計[kg],7184268,7038440,6244827,6540151,6171249
集団回収,報奨金単価[円/kg],6,6,6,6,6
集団回収,報奨金支給額[円],42228540,41575848,41744564,40609542,37204500
集団回収,登録団体,362,380,386,398,393
集団回収,実施世帯数,64567,59465,63724,63873,64362
拠点回収等,乾電池[kg],21498,20380,19270,19381,19954
拠点回収等,廃食油[kg],17585,19219,18514,18869,18522
拠点回収等,ペットボトル[kg],80800,81160,78410,66580,
拠点回収等,小型家電[kg],,,1490,1638,1770
拠点回収等,古布[kg],41080,39770,32250,25940,29340
拠点回収等,合計[kg],160963,160529,149934,132408,69586
資源（集積所）回収,新聞[kg],764950,742540,836220,871570,828640
資源（集積所）回収,雑誌[kg],819620,760740,866860,902770,889270
資源（集積所）回収,段ボール[kg],1333070,1337560,1496350,1526770,1580260
資源（集積所）回収,びん（活きびん）[kg],2362600,2337970,2367675,2362675,2438615
資源（集積所）回収,缶[kg],590975,566565,558660,557275,535400
資源（集積所）回収,ペットボトル[kg],993650,970930,981910,963920,982160
資源（集積所）回収,食品トレー[kg],31754,30514,30325,29101,28678
資源（集積所）回収,合計[kg],6896619,6746819,7138000,7214081,7283023
