,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
補助件数,5,3,3,4,0
面積[㎡],61.9,74.7,101,121.3,0
累計[㎡],1949.8,2024.5,2125.5,2246.8,2246.8
