施設名,所在地 ,開設年月日,面積[㎡]
緑と花の学習園,文花2－12－17,昭和56年4月1日,1545.87
すみだ環境ふれあい館,文花1－32－9,平成13年5月14日,665
すみだリサイクル活動センター,横川5－10－１－111,平成9年1月16日,110.65
すみだリサイクルセンター,江東橋3－5－7,平成12年4月1日、都から移管,202.48
