区分,平成23年度校(園)数,平成23年度面積[㎡],平成24年度校(園)数,平成24年度面積[㎡],平成25年度校(園)数,平成25年度面積[㎡],平成26年度校(園)数,平成26年度面積[㎡],平成27年度校(園)数,平成27年度面積[㎡]
小学校,25,11193.48,25,11193.48,25,11677.48,25,11677.48,25,11953.48
中学校,12,4967.82,12,5157.07,11,4727.31,10,4297.55,10,4297.55
計,37,16161.3,37,16350.55,36,16404.79,35,15975.03,35,16251.03
