名称,所在地,備考
すみだ清掃事務所,業平5－6－2,"平成23年5月1日にリサイクル清掃課との統合による変更
（旧なりひら清掃事業所）"
すみだ清掃事務所分室,東向島5－9－11,"平成12年4月1日都から移管
平成15年4月1日に事務所統合
（旧向島清掃事務所）
平成23年5月1日にリサイクル清掃課との統合による変更
（旧すみだ清掃事務所）"
すみだ清掃事務所亀沢待機所,亀沢1－8－3,"平成12年4月1日都から移管
平成15年4月1日に事務所統合
（旧本所清掃事務所）
平成23年6月1日事務所統合による変更
(旧すみだ清掃事務所分室）"
すみだ清掃事務所業平待機所,東駒形4－15－15,"平成12年4月1日都から移管
平成15年4月1日に事務所統合による変更
（旧本所清掃事務所業平分室）"
向島ストックヤード,向島5－9－1,平成12年4月1日都から移管
錦糸ストックヤード,錦糸4－16－18,平成12年4月1日都から移管
立川リサイクルストックヤード,立川2-9-5,平成11年5月１７日開設
墨田清掃工場,東墨田1－10－23,平成10年2月1日本稼働開始（東京二十三区清掃一部事務組合施設）
