業種,,区分,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
製造業,,設置,3,8,8,5,9
製造業,,変更,7,5,4,6,6
製造業,食料品・飲料・たばこ・飼料,設置,,,,,
製造業,食料品・飲料・たばこ・飼料,変更,1,3,,,
製造業,繊維工業・衣類・その他繊維製品,設置,,,,,
製造業,繊維工業・衣類・その他繊維製品,変更,,,,,
製造業,木材・木製品・家具・装飾品,設置,,,1,,
製造業,木材・木製品・家具・装飾品,変更,,,,,
製造業,パルプ・紙・紙加工品,設置,,1,,,
製造業,パルプ・紙・紙加工品,変更,,,,,
製造業,出版･印刷･同関連,設置,2,3,3,2,3
製造業,出版･印刷･同関連,変更,1,,,2,1
製造業,化学工業・石油製品・石炭製品,設置,,,,,1
製造業,化学工業・石油製品・石炭製品,変更,3,1,2,1,2
製造業,プラスチック製品,設置,,2,1,,
製造業,プラスチック製品,変更,,,,,
製造業,ゴム製品,設置,,1,1,,
製造業,ゴム製品,変更,,,,,
製造業,なめし革・同製品・毛皮,設置,,1,,2,1
製造業,なめし革・同製品・毛皮,変更,1,,,,
製造業,窯業・土石製品,設置,,,,,
製造業,窯業・土石製品,変更,,,,,
製造業,鉄鋼業・非鉄金属,設置,,,,,
製造業,鉄鋼業・非鉄金属,変更,,1,,,1
製造業,金属製品,設置,,,1,1,4
製造業,金属製品,変更,1,,2,3,2
製造業,一般・電気・輸送・精密機械器具,設置,,,,,
製造業,一般・電気・輸送・精密機械器具,変更,,,,,
製造業,武器・その他の製造業,設置,1,,1,,
製造業,武器・その他の製造業,変更,,,,,
運輸通信・電気・ガス・熱供給・水道業,,設置,,,,,
運輸通信・電気・ガス・熱供給・水道業,,変更,,,,,
卸売業・小売業・サービス業・その他,,設置,1,,,,1
卸売業・小売業・サービス業・その他,,変更,3,3,1,1,2
合計,,設置,4,8,8,5,10
合計,,変更,10,8,5,7,8
