区分,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
ばい煙,7,5,7,13,14
粉じん,14,12,19,16,8
有害ガス,1,0,0,0,0
悪臭,42,46,50,40,33
汚水,1,0,0,2,1
騒音,150,142,135,176,156
振動,38,28,36,40,35
その他,70,89,145,114,71
計,323,322,392,401,318
