 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"266,531","124,259","248,603","116,639","59,823","115,618","188,780","1,021","17,928","7,620","10,420","6,060","7,508","1,560"
,96.6%,130.7%,98.0%,143.4%,92.8%,143.2%,99.8%,178.5%,80.9%,55.6%,102.6%,54.1%,62.5%,62.3%
,"1,401,042","544,994","1,291,970","469,635","357,734","463,485","934,236","6,150","109,072","75,359","58,009","66,633","51,063","8,726"
,97.1%,97.3%,96.9%,100.3%,98.1%,99.7%,96.4%,177.1%,99.4%,82.2%,112.7%,82.0%,87.6%,83.0%
品川岸壁,"22,443","15,347","22,442","14,760","4,261","14,649","18,181",111,1,587,-,582,1,5
,101.1%,110.5%,101.1%,120.9%,101.1%,120.9%,101.1%,126.1%,-,35.0%,-,34.7%,-,-
,"111,148","71,445","111,146","63,176","21,893","62,631","89,253",545,2,"8,269",1,"8,234",1,35
,93.9%,91.2%,94.1%,94.3%,87.4%,94.2%,96.0%,115.5%,0.6%,72.8%,-,73.8%,0.3%,16.2%
10号西岸壁,"3,191",417,-,-,-,-,-,-,"3,191",417,"1,869",-,"1,322",417
,89.9%,34.2%,-,-,-,-,-,-,89.9%,34.2%,87.3%,-,93.8%,34.2%
,"18,574","2,408",-,-,-,-,-,-,"18,574","2,408","11,190",32,"7,384","2,376"
,98.1%,56.7%,-,-,-,-,-,-,98.1%,56.7%,97.2%,82.1%,99.5%,56.4%
青海コンテナふ頭（公共）,"46,051","23,798","44,485","21,484","9,712","21,396","34,773",88,"1,566","2,314","1,256","2,153",310,161
,98.7%,117.8%,98.2%,125.4%,115.6%,125.6%,94.2%,86.3%,118.8%,75.5%,165.5%,72.8%,55.5%,149.1%
,"239,144","110,792","230,006","95,213","46,515","93,772","183,491","1,441","9,138","15,579","6,659","15,262","2,479",317
,95.1%,86.1%,94.7%,92.2%,96.5%,91.6%,94.2%,164.9%,106.0%,61.3%,131.5%,60.5%,69.7%,165.1%
青海コンテナふ頭(埠頭㈱),"18,721","9,007","18,351","8,802","3,435","8,800","14,916",2,370,205,370,205,-,-
,47.1%,53.5%,47.1%,55.0%,39.7%,55.4%,49.2%,1.6%,49.8%,24.2%,77.4%,24.2%,-,-
,"151,104","65,048","148,697","57,641","37,870","57,529","110,827",112,"2,407","7,407","2,407","7,407",-,-
,79.9%,69.1%,79.9%,64.7%,88.2%,64.7%,77.4%,51.6%,80.3%,145.7%,111.2%,145.7%,-,-
お台場ライナーふ頭,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,134,72,134,72,15,-,119,72,-,-,-,-,-,-
,23.6%,51.4%,23.6%,51.4%,-,-,20.9%,51.4%,-,-,-,-,-,-
大井コンテナふ頭,"134,574","52,071","128,533","49,444","35,274","48,653","93,259",791,"6,041","2,627","3,049","2,560","2,992",67
,90.9%,134.0%,93.1%,149.6%,86.5%,148.4%,95.9%,307.8%,60.6%,45.2%,104.3%,44.7%,42.5%,70.5%
,"751,321","230,769","706,550","195,104","228,959","191,222","477,591","3,882","44,771","35,665","17,642","34,830","27,129",835
,97.8%,108.3%,97.4%,110.4%,97.6%,109.3%,97.3%,219.8%,103.8%,98.1%,146.9%,96.6%,87.2%,284.0%
その他,"41,551","23,619","34,792","22,149","7,141","22,120","27,651",29,"6,759","1,470","3,876",560,"2,883",910
,265.3%,585.9%,383.5%,750.6%,296.8%,749.8%,414.7%,"2,900.0%",102.5%,136.1%,100.6%,-,105.3%,84.3%
,"129,617","64,460","95,437","58,429","22,482","58,331","72,955",98,"34,180","6,031","20,110",868,"14,070","5,163"
,134.6%,156.1%,157.8%,182.3%,163.0%,182.0%,156.2%,"3,266.7%",95.5%,65.2%,97.1%,23.8%,93.4%,92.1%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
