 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"266,531","124,259","1,401,043","544,995","70,243","121,678","415,743","530,118","196,288","2,581","985,300","14,877"
,96.6%,130.7%,97.1%,97.3%,94.1%,132.3%,99.9%,97.1%,97.5%,83.9%,95.9%,106.4%
外航計,"248,603","116,639","1,291,970","469,635","59,823","115,618","357,734","463,485","188,780","1,021","934,236","6,150"
,98.0%,143.4%,96.9%,100.3%,92.8%,143.2%,98.1%,99.7%,99.8%,178.5%,96.4%,177.1%
外航定期計,"248,603","116,639","1,291,970","469,635","59,823","115,618","357,734","463,485","188,780","1,021","934,236","6,150"
,98.0%,143.4%,96.9%,100.3%,92.8%,143.2%,98.1%,99.7%,99.8%,178.5%,96.4%,177.1%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"26,480","16,668","129,182","70,540","2,897","16,023","23,995","67,815","23,583",645,"105,187","2,725"
,94.7%,121.5%,71.1%,110.8%,47.1%,118.3%,39.0%,108.5%,108.1%,383.9%,87.6%,228.4%
北米東岸(カリビア海含む),"6,717","2,531","42,300","9,277","2,233","2,530","19,697","9,052","4,484",1,"22,603",225
,67.4%,125.6%,90.0%,72.1%,48.4%,125.9%,96.9%,70.7%,83.8%,16.7%,84.8%,401.8%
北欧・地中海,"23,520","4,686","159,710","18,558","11,354","4,615","80,036","17,366","12,166",71,"79,674","1,192"
,84.2%,268.1%,153.1%,161.9%,87.7%,266.6%,156.8%,153.5%,81.2%,417.6%,149.7%,805.4%
南米西岸,812,468,"12,093","7,611",57,468,"1,513","7,267",755,-,"10,580",344
,48.7%,25.5%,86.3%,72.6%,38.0%,25.5%,81.9%,71.3%,49.7%,-,86.9%,116.6%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
