 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
30,非鉄金属,"21,412","119,104","6,131","41,138","6,131","41,131","12,836","62,346","12,828","62,299",80,405,"2,365","15,215"
31,金属製品,"119,850","662,696","15,643","115,766","15,643","115,757","100,134","524,139","98,464","513,070","2,631","16,260","1,442","6,531"
32,鉄道車両,540,"1,915",89,305,89,305,451,"1,610",447,"1,606",-,-,-,-
33,完成自動車,"841,576","5,169,434","3,428","35,202","3,421","35,017",960,"10,264",944,"9,797","469,006","2,906,593","368,182","2,217,375"
34,その他輸送用車両,"8,827","44,487",194,"1,081",194,"1,081","7,281","37,625","7,213","34,135","1,076","5,362",276,419
35,二輪自動車,"6,287","36,161",677,"10,667",677,"10,667","5,608","25,215","5,608","25,215",1,228,1,51
36,自動車部品,"93,381","817,266","47,102","530,244","47,102","530,244","43,683","270,067","43,671","269,999","1,101","6,975","1,495","9,980"
37,その他輸送機械,"49,082","265,426","4,354","26,879","4,354","26,879","29,517","140,676","29,517","140,676","5,820","31,560","9,391","66,311"
38,産業機械,"226,478","1,320,745","93,882","675,854","93,162","673,429","123,061","579,958","123,024","579,706","7,244","52,990","2,291","11,943"
39,電気機械,"348,680","1,662,168","37,347","257,053","37,347","257,053","306,842","1,380,528","306,553","1,379,884","3,701","19,664",790,"4,923"
40,測量・光学・医療用機械,"45,335","246,093","14,475","94,529","14,475","94,294","29,197","138,359","29,191","137,678","1,000","8,426",663,"4,779"
41,事務用機器,"17,143","86,612","1,645","10,447","1,645","10,447","12,875","57,775","12,875","57,775","2,563","17,965",60,425
42,その他機械,"4,580","21,154",543,"3,176",543,"3,176","2,086","9,388","2,086","9,388","1,289","5,122",662,"3,468"
化学工業品,,"820,511","5,026,691","146,139","933,247","146,129","933,236","310,205","1,472,609","310,200","1,471,571","25,222","164,281","338,945","2,456,554"
43,陶磁器,"11,155","57,431",441,"2,868",441,"2,868","10,714","54,563","10,714","54,563",-,-,-,-
44,セメント,"194,009","942,144",162,339,162,339,"1,785","7,229","1,785","7,229","1,714","14,535","190,348","920,041"
45,ガラス類,"18,239","104,082","3,690","29,311","3,690","29,311","13,569","69,521","13,569","69,521",930,"4,945",50,305
46,窯業品,"24,130","149,156","4,374","42,503","4,364","42,493","17,271","83,625","17,271","83,625","1,113","13,641","1,372","9,387"
47,重油,"26,119","159,784",-,-,-,-,-,-,-,-,"12,408","76,343","13,711","83,441"
48,揮発油,91,608,-,4,-,4,60,257,60,257,31,347,-,-
49,その他の石油,"126,621","1,359,595","1,703","9,736","1,703","9,736","1,380","7,670","1,380","7,670",593,"4,258","122,945","1,337,931"
50,LNG/液化天然ガス,30,86,-,-,-,-,30,86,30,86,-,-,-,-
51,LPG/液化石油ガス,527,"3,385",-,-,-,-,-,165,-,165,522,"3,215",5,5
52,その他石油製品,"5,536","62,869",333,"1,394",333,"1,394","1,322","6,302","1,322","6,302","1,358","6,462","2,523","48,711"
53,コークス,720,"15,298",-,-,-,-,720,"6,529",720,"5,520",-,"1,610",-,"7,159"
54,石炭製品,691,"2,831",631,"2,651",631,"2,651",60,180,60,180,-,-,-,-
55,化学薬品,"74,564","402,315","18,367","114,961","18,367","114,961","51,178","250,499","51,178","250,499","2,507","14,394","2,512","22,461"
56,化学肥料,"3,727","28,477",30,"1,570",30,"1,570","3,107","23,852","3,107","23,852",285,"1,605",305,"1,450"
57,その他化学工業品,"334,352","1,738,630","116,408","727,910","116,408","727,909","209,009","962,131","209,004","962,102","3,761","22,926","5,174","25,663"
軽工業品,,"557,566","2,962,574","37,417","259,832","37,382","259,720","388,527","1,969,012","388,526","1,969,001","41,460","222,726","90,162","511,004"
58,紙・パルプ,"135,477","757,315","11,474","96,677","11,474","96,677","62,334","300,689","62,333","300,688","3,445","19,084","58,224","340,865"
59,糸及び紡績半製品,"4,686","25,105",207,"2,588",207,"2,588","4,479","22,502","4,479","22,502",-,15,-,-
60,その他繊維工業品,"27,873","148,845","2,649","21,955","2,614","21,843","25,025","125,594","25,025","125,594",189,"1,186",10,110
61,砂糖,"9,155","56,288",83,233,83,233,"2,760","20,774","2,760","20,774","1,629","6,757","4,683","28,524"
62,製造食品,"250,998","1,283,407","18,640","112,789","18,640","112,789","210,969","1,062,190","210,969","1,062,180","13,674","70,240","7,715","38,188"
63,飲料,"75,874","401,648","3,809","23,353","3,809","23,353","47,188","246,305","47,188","246,305","18,337","95,430","6,540","36,560"
64,水,"20,836","107,394",279,"1,723",279,"1,723","16,986","86,907","16,986","86,907","2,306","11,759","1,265","7,005"
65,たばこ,"7,593","40,154",45,199,45,199,"6,863","35,310","6,863","35,310",650,"3,380",35,"1,265"
66,その他食料工業品,"25,074","142,418",231,315,231,315,"11,923","68,741","11,923","68,741","1,230","14,875","11,690","58,487"
雑工業品,,"908,203","4,658,814","67,298","448,247","67,298","448,208","806,742","4,013,634","806,727","4,013,336","26,958","157,216","7,205","39,717"
67,がん具,"46,964","210,317","1,305","10,792","1,305","10,792","45,659","199,490","45,659","199,490",-,35,-,-
68,衣服・身廻品・はきもの,"351,039","1,862,883","10,427","58,727","10,427","58,727","339,214","1,794,639","339,214","1,794,635","1,388","9,253",10,264
69,文房具・運動娯楽用品・楽器,"71,378","337,518","8,470","51,886","8,470","51,886","62,007","277,342","61,996","277,269",-,"1,387",901,"6,903"
70,家具装備品,"178,583","858,156","5,386","33,494","5,386","33,494","171,245","812,044","171,245","812,041","1,647","10,818",305,"1,800"
71,その他日用品,"73,408","353,968","3,796","36,160","3,796","36,160","49,257","204,620","49,257","204,619","17,532","99,505","2,823","13,683"
72,ゴム製品,"44,387","310,469","17,242","146,063","17,242","146,063","26,090","157,567","26,090","157,567",510,"3,165",545,"3,674"
73,木製品,"81,500","461,851",265,"4,761",265,"4,761","79,253","447,119","79,253","446,915","1,701","9,028",281,943
74,その他製造工業品,"60,944","263,652","20,407","106,364","20,407","106,325","34,017","120,813","34,013","120,800","4,180","24,025","2,340","12,450"
特殊品,,"870,400","5,179,867","223,310","1,282,123","198,879","1,047,396","174,293","945,748","174,262","927,790","331,144","2,051,101","141,653","900,895"
75,金属くず,"37,866","313,723","30,422","271,123","6,327","37,842","4,845","26,454","4,845","26,454","1,175","8,321","1,424","7,825"
76,再利用資材,"198,459","1,054,162","172,585","874,784","172,585","874,784","1,965","24,227","1,965","24,227","20,358","138,422","3,551","16,729"
77,動植物性製造飼肥料,"95,826","513,486","2,297","9,596","2,297","9,596","86,593","474,199","86,593","474,199","6,446","27,256",490,"2,435"
78,廃棄物,"1,585","7,616",-,-,-,-,-,-,-,-,240,"1,570","1,345","6,046"
79,廃土砂,"119,086","777,379",-,-,-,-,-,-,-,-,"119,050","777,156",36,223
80,輸送用容器,"117,385","597,437","11,713","76,806","11,377","75,360","76,779","387,237","76,748","369,279","6,067","29,636","22,826","103,758"
81,取合せ品,"300,193","1,916,064","6,293","49,814","6,293","49,814","4,111","33,631","4,111","33,631","177,808","1,068,740","111,981","763,879"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
