 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,584","13,685,612","8,799","69,914,452",654,"12,133,648","3,406","61,080,554"
外航計,415,"10,394,897","2,040","51,889,187",393,"10,134,318","1,940","50,647,144"
外航定期計,396,"10,161,756","1,948","50,773,686",393,"10,134,318","1,940","50,647,144"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),32,"2,349,936",152,"10,311,613",32,"2,349,936",150,"10,295,635"
北米東岸(カリビア海含む),9,"859,205",54,"4,266,924",9,"859,205",54,"4,266,924"
北欧・地中海,9,"886,857",56,"5,291,457",9,"886,857",55,"5,284,455"
南米西岸,1,"110,632",15,"1,881,070",1,"110,632",15,"1,881,070"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,6,"203,096",22,"929,933",4,"183,145",20,"909,982"
印パ･ペルシャ･ベンガル,1,"7,487",1,"7,487",-,-,-,-
東南アジア,142,"3,666,498",698,"17,791,260",142,"3,666,498",698,"17,791,260"
台湾,-,-,-,-,-,-,-,-
韓国,38,"331,136",206,"1,781,588",38,"331,136",206,"1,781,588"
中国(香港含む),158,"1,746,909",744,"8,512,354",158,"1,746,909",742,"8,436,230"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,19,"233,141",92,"1,115,501",-,-,-,-
内航計,"1,169","3,290,715","6,759","18,025,265",261,"1,999,330","1,466","10,433,410"
内航定期計,429,"2,586,454","2,497","13,658,620",239,"1,983,926","1,350","10,336,414"
北海道,104,"1,158,539",510,"5,600,073",104,"1,158,539",510,"5,600,073"
東北,41,"38,533",293,"288,984",41,"38,533",293,"288,984"
関東,57,"21,061",374,"131,835",1,"2,464",2,"2,962"
伊豆諸島,109,"268,031",638,"1,462,201",-,-,-,-
中部,14,"9,733",103,"73,857",14,"9,733",103,"73,857"
近畿,8,"5,992",61,"245,234",8,"5,992",61,"245,234"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,74,"851,035",398,"4,590,435",49,"535,135",261,"2,859,303"
沖縄,22,"233,530",120,"1,266,001",22,"233,530",120,"1,266,001"
内航不定期,740,"704,261","4,262","4,366,645",22,"15,404",116,"96,996"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
