 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"5,975,336","1,701,756","4,273,580","33,510,695","10,795,436","22,715,259","4,265,721","1,157,832","3,107,889","23,209,567","7,345,105","15,864,462"
外航計,"3,701,929","752,039","2,949,890","19,464,927","4,981,892","14,483,035","3,552,688","724,917","2,827,771","18,889,998","4,741,556","14,148,442"
外航定期計,"3,578,005","730,167","2,847,838","18,931,374","4,747,756","14,183,618","3,552,688","724,917","2,827,771","18,889,998","4,741,556","14,148,442"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"382,812","35,441","347,371","1,951,094","305,254","1,645,840","382,812","35,441","347,371","1,949,103","304,970","1,644,133"
北米東岸(カリビア海含む),"92,461","27,234","65,227","579,299","245,616","333,683","92,461","27,234","65,227","579,299","245,616","333,683"
北欧・地中海,"308,014","132,745","175,269","2,318,739","1,129,866","1,188,873","308,014","132,745","175,269","2,318,308","1,129,435","1,188,873"
南米西岸,"11,690",732,"10,958","168,792","13,801","154,991","11,690",732,"10,958","168,792","13,801","154,991"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"42,038","2,651","39,387","127,206","11,228","115,978","21,971","2,651","19,320","107,139","11,228","95,911"
印パ･ペルシャ･ベンガル,"5,250","5,250",-,"5,250","5,250",-,-,-,-,-,-,-
東南アジア,"1,571,383","368,186","1,203,197","8,309,455","2,187,463","6,121,992","1,571,383","368,186","1,203,197","8,309,455","2,187,463","6,121,992"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"132,649","24,224","108,425","676,395","153,416","522,979","132,649","24,224","108,425","676,395","153,416","522,979"
中国(香港含む),"1,031,708","133,704","898,004","4,795,144","695,862","4,099,282","1,031,708","133,704","898,004","4,781,507","695,627","4,085,880"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"123,924","21,872","102,052","533,553","234,136","299,417",-,-,-,-,-,-
内航計,"2,273,407","949,717","1,323,690","14,045,768","5,813,544","8,232,224","713,033","432,915","280,118","4,319,569","2,603,549","1,716,020"
内航定期計,"1,389,031","771,290","617,741","8,478,269","4,710,002","3,768,267","693,525","414,508","279,017","4,250,814","2,544,607","1,706,207"
北海道,"236,702","131,377","105,325","1,348,571","756,248","592,323","236,702","131,377","105,325","1,348,571","756,248","592,323"
東北,"26,307","17,425","8,882","206,653","116,685","89,968","26,307","17,425","8,882","206,653","116,685","89,968"
関東,"33,146","16,932","16,214","222,579","90,687","131,892","2,182","2,182",-,"2,182","2,182",-
伊豆諸島,"5,987","3,942","2,045","33,928","22,775","11,153",-,-,-,-,-,-
中部,"9,180","4,281","4,899","70,113","15,368","54,745","9,180","4,281","4,899","70,113","15,368","54,745"
近畿,"4,364","3,005","1,359","74,173","41,312","32,861","4,364","3,005","1,359","74,173","41,312","32,861"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"973,663","523,197","450,466","5,951,782","3,250,960","2,700,822","315,108","185,107","130,001","1,978,652","1,196,845","781,807"
沖縄,"99,682","71,131","28,551","570,470","415,967","154,503","99,682","71,131","28,551","570,470","415,967","154,503"
内航不定期,"884,376","178,427","705,949","5,567,499","1,103,542","4,463,957","19,508","18,407","1,101","68,755","58,942","9,813"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
