（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"752,039",83.1%,"4,981,892",99.3%,100.0%
1,アメリカ,"124,825",51.1%,"1,137,888",93.1%,22.8%
2,中国,"197,863",87.5%,"1,034,812",82.6%,20.8%
,(香港),"32,104",98.9%,"164,526",97.1%,3.3%
3,ベトナム,"110,578",126.1%,"593,998",163.0%,11.9%
4,タイ,"69,189",115.8%,"362,135",109.6%,7.3%
5,台湾,"56,601",149.7%,"305,468",133.7%,6.1%
6,オランダ,"23,865",78.7%,"196,318",98.8%,3.9%
7,韓国,"33,087",103.8%,"195,210",75.0%,3.9%
8,インドネシア,"17,596",119.0%,"175,675",116.2%,3.5%
9,マレーシア,"22,780",70.6%,"159,439",89.9%,3.2%
10,インド,"6,875",29.6%,"113,120",74.1%,2.3%
11,ドイツ,"12,199",76.8%,"103,237",104.8%,2.1%
12,シンガポール,"13,849",101.5%,"88,864",101.3%,1.8%
13,フィリピン,"8,722",48.8%,"75,713",83.1%,1.5%
14,バングラディシュ,"5,692",245.2%,"69,245",637.1%,1.4%
15,イギリス,"5,020",49.8%,"51,812",89.2%,1.0%
16,カナダ,"9,472",106.1%,"48,031",82.3%,1.0%
17,ロシア,"3,897",55.4%,"32,147",88.2%,0.6%
18,ブラジル,"4,469",85.2%,"29,125",111.3%,0.6%
19,アラブ首長国,"2,002",40.5%,"25,235",95.3%,0.5%
20,フランス,"2,738",86.4%,"22,576",96.2%,0.5%
,その他,"20,720",74.9%,"161,844",99.1%,3.2%
,,,,,,
