 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,25,137,25,137,
,総トン数,,"315,900","1,731,132","315,900","1,731,132",
取扱貨物,計,計,"658,555","3,973,130","658,555","3,973,130",
,,出荷,"338,090","2,054,115","338,090","2,054,115",
,,入荷,"320,465","1,919,015","320,465","1,919,015",
取　扱　台　数,バ　ス,計,2,32,2,32,
,,出荷,-,6,-,6,
,,入荷,2,26,2,26,
,トラック,計,"6,047","36,078","6,047","36,078",
,,出荷,"3,149","18,890","3,149","18,890",
,,入荷,"2,898","17,188","2,898","17,188",
,乗用車,計,"2,354","18,611","2,354","18,611",
,,出荷,"1,348","10,222","1,348","10,222",
,,入荷,"1,006","8,389","1,006","8,389",
乗降人員,計,,202,"7,863",202,"7,863",
,乗船,,149,"4,097",149,"4,097",
,降船,,53,"3,766",53,"3,766",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
