 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"5,975,336 ","33,510,695 ","3,701,929 ","752,039 ","2,949,890 ","19,464,927 ","4,981,892 ","14,483,035 ","2,273,407 ","949,717 ","1,323,690 ","14,045,768 ","5,813,544 ","8,232,224 "
公共計,"2,728,022 ","15,240,139 ","1,053,392 ","175,357 ","878,035 ","5,188,494 ","890,088 ","4,298,406 ","1,674,630 ","867,125 ","807,505 ","10,051,645 ","5,352,812 ","4,698,833 "
ドルフィン,"4,366 ","36,523 ",-,-,-,-,-,-,"4,366 ","4,366 ",-,"36,523 ","36,523 ",-
芝浦ふ頭,"49,120 ","275,679 ",-,-,-,-,-,-,"49,120 ","1,132 ","47,988 ","275,679 ","7,056 ","268,623 "
芝浦物揚場,"6,972 ","38,358 ",-,-,-,-,-,-,"6,972 ","4,025 ","2,947 ","38,358 ","26,245 ","12,113 "
日の出ふ頭,"2,215 ","14,415 ",-,-,-,-,-,-,"2,215 ",-,"2,215 ","14,415 ",-,"14,415 "
竹芝ふ頭,"6,028 ","34,216 ",-,-,-,-,-,-,"6,028 ","3,942 ","2,086 ","34,216 ","22,775 ","11,441 "
品川岸壁,"471,627 ","2,558,337 ","320,589 ","51,433 ","269,156 ","1,619,689 ","283,815 ","1,335,874 ","151,038 ","88,566 ","62,472 ","938,648 ","558,658 ","379,990 "
 品川コンテナ,"312,273 ","1,585,277 ","312,273 ","50,492 ","261,781 ","1,580,291 ","280,849 ","1,299,442 ",-,-,-,"4,986 ","2,466 ","2,520 "
 品川外貿,"8,316 ","39,398 ","8,316 ",941 ,"7,375 ","39,398 ","2,966 ","36,432 ",-,-,-,-,-,-
 品川内貿,"151,038 ","933,662 ",-,-,-,-,-,-,"151,038 ","88,566 ","62,472 ","933,662 ","556,192 ","377,470 "
月島ふ頭,"1,530 ","9,442 ",-,-,-,-,-,-,"1,530 ",586 ,944 ,"9,442 ","4,388 ","5,054 "
10号西岸壁,"362,424 ","2,240,133 ",-,-,-,-,-,-,"362,424 ","219,958 ","142,466 ","2,240,133 ","1,407,189 ","832,944 "
10号東岸壁,"22,201 ","144,962 ",-,-,-,-,-,-,"22,201 ",78 ,"22,123 ","144,962 ",604 ,"144,358 "
東京港フェリーふ頭,"658,555 ","3,973,130 ",-,-,-,-,-,-,"658,555 ","338,090 ","320,465 ","3,973,130 ","2,054,115 ","1,919,015 "
辰巳ふ頭,"30,183 ","151,264 ",-,-,-,-,-,-,"30,183 ","11,766 ","18,417 ","151,264 ","64,384 ","86,880 "
青海コンテナふ頭（公共）,"656,646 ","3,414,317 ","640,931 ","123,924 ","517,007 ","3,323,342 ","606,273 ","2,717,069 ","15,715 ","11,978 ","3,737 ","90,975 ","65,462 ","25,513 "
大井水産物ふ頭,-,146 ,-,-,-,-,-,-,-,-,-,146 ,50 ,96 
大井食品ふ頭（OL）,"65,700 ","155,289 ","53,366 ",-,"53,366 ","118,555 ",-,"118,555 ","12,334 ",-,"12,334 ","36,734 ",-,"36,734 "
大井食品ふ頭（OM）,"9,633 ","43,445 ","9,633 ",-,"9,633 ","43,445 ",-,"43,445 ",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"2,357 ",-,-,-,"1,707 ",-,"1,707 ",-,-,-,650 ,650 ,-
若洲内貿ふ頭,"50,758 ","266,111 ",-,-,-,-,-,-,"50,758 ","35,452 ","15,306 ","266,111 ","193,430 ","72,681 "
15号地木材ふ頭,"4,473 ","13,682 ","4,473 ",-,"4,473 ","9,142 ",-,"9,142 ",-,-,-,"4,540 ","3,518 ","1,022 "
若洲建材ふ頭,"50,882 ","250,684 ",-,-,-,-,-,-,"50,882 ","2,900 ","47,982 ","250,684 ","18,344 ","232,340 "
大井建材ふ頭,"71,678 ","458,466 ",-,-,-,-,-,-,"71,678 ",-,"71,678 ","458,466 ",600 ,"457,866 "
城南島建設発生土ふ頭,"106,270 ","635,950 ",-,-,-,-,-,-,"106,270 ","106,270 ",-,"635,950 ","635,950 ",-
中央防波堤内側ばら物ふ頭,"24,400 ","97,466 ","24,400 ",-,"24,400 ","72,614 ",-,"72,614 ",-,-,-,"24,852 ","9,661 ","15,191 "
中央防波堤内側建設発生土ふ頭,-,"46,669 ",-,-,-,-,-,-,-,-,-,"46,669 ","46,669 ",-
中央防波堤内側内貿ふ頭,"72,361 ","379,098 ",-,-,-,-,-,-,"72,361 ","38,016 ","34,345 ","379,098 ","196,541 ","182,557 "
東京港埠頭㈱計,"2,149,027 ","13,190,684 ","2,075,443 ","491,253 ","1,584,190 ","12,713,233 ","3,810,678 ","8,902,555 ","73,584 ","48,218 ","25,366 ","477,451 ","227,027 ","250,424 "
青海コンテナふ頭(埠頭㈱),"273,064 ","2,279,635 ","262,989 ","45,827 ","217,162 ","2,218,111 ","512,540 ","1,705,571 ","10,075 ","10,075 ",-,"61,524 ","61,104 ",420 
お台場ライナーふ頭,"33,323 ","304,476 ","31,174 ","27,122 ","4,052 ","280,329 ","240,052 ","40,277 ","2,149 ","1,019 ","1,130 ","24,147 ","7,719 ","16,428 "
大井コンテナふ頭,"1,842,640 ","10,606,573 ","1,781,280 ","418,304 ","1,362,976 ","10,214,793 ","3,058,086 ","7,156,707 ","61,360 ","37,124 ","24,236 ","391,780 ","158,204 ","233,576 "
民間計,"1,098,287 ","5,079,872 ","573,094 ","85,429 ","487,665 ","1,563,200 ","281,126 ","1,282,074 ","525,193 ","34,374 ","490,819 ","3,516,672 ","233,705 ","3,282,967 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
