"年度","会員数[人]","就業延実人員","配分金[円]"
"2015","1565","25698","597499000"
"2016","1627","27021","620348000"
"2017","1637","27342","627306000"
"2018","1665","27721","657460000"
"2019","1676","25732","550225000"

"令和2年度港区行政資料集　公益社団法人港区シルバー人材センター活動状況","Ver202003",,
