"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2005120101,"港南",0,3,18,21,,,,,8,,9,"E",,,
2005120102,"港南",0,8,20,28,,,,,11,,5,"E",,,
2005120103,"港南",0,2,19,21,,,,,6,,7,"E",,,
2005120104,"港南",0,2,15,17,,,,,7,,8,"E",,,
2005120105,"港南",0,1,13,14,,,,,12,,7,"E",,,
2005120106,"港南",0,2,16,18,,,,,11,,8,"ESE",,,
2005120107,"港南",0,10,24,34,,,,,12,,8,"ENE",,,
2005120108,"港南",0,17,26,43,,,,,10,,8,"NNW",,,
2005120109,"港南",1,27,29,56,,,,,13,,10,"NE",,,
2005120110,"港南",1,23,24,47,,,,,16,,16,"E",,,
2005120111,"港南",1,18,22,40,,,,,22,,10,"N",,,
2005120112,"港南",3,37,34,71,,,,,19,,10,"ESE",,,
2005120113,"港南",3,33,37,70,,,,,28,,9,"SE",,,
2005120114,"港南",4,36,41,77,,,,,31,,16,"ENE",,,
2005120115,"港南",6,40,46,86,,,,,22,,8,"SE",,,
2005120116,"港南",5,38,48,86,,,,,33,,8,"ESE",,,
2005120117,"港南",7,48,52,100,,,,,24,,4,"ESE",,,
2005120118,"港南",6,31,48,79,,,,,11,,2,"NW",,,
2005120119,"港南",7,24,46,70,,,,,16,,8,"ENE",,,
2005120120,"港南",8,22,42,64,,,,,33,,3,"E",,,
2005120121,"港南",8,21,40,61,,,,,34,,3,"NNW",,,
2005120122,"港南",7,42,43,85,,,,,44,,5,"ENE",,,
2005120123,"港南",5,70,46,116,,,,,31,,5,"ENE",,,
2005120124,"港南",4,57,45,102,,,,,34,,2,"N",,,
2005120201,"港南",9995,9995,9995,9995,,,,,43,,3,"NNW",,,
2005120202,"港南",9995,114,44,158,,,,,40,,3,"ENE",,,
2005120203,"港南",4,82,40,122,,,,,38,,2,"NNW",,,
2005120204,"港南",3,34,33,67,,,,,34,,5,"SE",,,
2005120205,"港南",3,23,32,55,,,,,27,,2,"N",,,
2005120206,"港南",3,30,33,63,,,,,24,,0,"ENE",,,
2005120207,"港南",3,56,36,92,,,,,19,,1,"ENE",,,
2005120208,"港南",3,76,39,115,,,,,20,,2,"ENE",,,
2005120209,"港南",3,85,42,127,,,,,33,,3,"ESE",,,
2005120210,"港南",5,96,48,144,,,,,38,,6,"ESE",,,
2005120211,"港南",7,99,56,155,,,,,50,,6,"SSW",,,
2005120212,"港南",9,114,63,177,,,,,55,,8,"E",,,
2005120213,"港南",13,123,65,188,,,,,61,,8,"ENE",,,
2005120214,"港南",10,93,65,158,,,,,61,,9,"E",,,
2005120215,"港南",12,121,71,192,,,,,50,,6,"ENE",,,
2005120216,"港南",7,73,61,134,,,,,48,,3,"NW",,,
2005120217,"港南",4,33,57,90,,,,,43,,7,"ENE",,,
2005120218,"港南",4,26,52,78,,,,,43,,3,"E",,,
2005120219,"港南",4,40,54,94,,,,,45,,2,"SW",,,
2005120220,"港南",4,83,61,144,,,,,64,,2,"NW",,,
2005120221,"港南",5,85,59,144,,,,,83,,3,"SE",,,
