地域階層,地域コード,地域,平成15年1月1日現在人口,平成14年中の動き／増減人口総数,平成14年中の動き／社会動態／社会増減,平成14年中の動き／社会動態／転入,平成14年中の動き／社会動態／転出,平成14年中の動き／都内間の移動増減,平成14年中の動き／自然動態／自然増減,平成14年中の動き／自然動態／出生,平成14年中の動き／自然動態／死亡,平成14年中の動き／その他の増減／外国人登録人口,平成14年中の動き／その他の増減／記載・消除等,面積(km2),人口密度(1km2当たり）,平成14年1月1日現在人口 
0,13000,総数,12289519,101805,72050,442925,370875,-24,15279,100414,85135,12944,1556,2187.05,5619,12187714
1,13100,区部,8289001,69379,50612,315730,265118,952,5911,65940,60029,10622,1282,621.45,13338,8219622
1,13200,市部,3913402,32716,21376,125668,104292,-1061,9816,33811,23995,2279,306,783.92,4992,3880686
2,13300,郡部,60319,30,31,646,615,263,-299,421,720,43,-8,375.96,160,60289
2,13350,島部,27174,-153,31,881,850,-178,-149,242,391,0,-24,405.72,67,27327
1,13100,区部,8289001,69379,50612,315730,265118,952,5911,65940,60029,10622,1282,621.45,13338,8219622
4,13101,千代田区,36560,176,598,1956,1358,-361,-116,227,343,76,-21,11.64,3141,36384
4,13102,中央区,80822,3522,1780,4782,3002,1332,34,682,648,288,88,10.15,7963,77300
4,13103,港区,165947,1413,1551,7373,5822,-395,67,1326,1259,-67,257,20.34,8159,164534
4,13104,新宿区,294617,4043,3240,13943,10703,-167,-277,1764,2041,1534,-287,18.23,16161,290574
4,13105,文京区,180567,1886,1975,7943,5968,-24,-214,1191,1405,122,27,11.31,15965,178681
4,13106,台東区,161886,2734,1524,5488,3964,896,-745,982,1727,845,214,10.08,16060,159152
4,13107,墨田区,219901,1365,1202,6314,5112,395,-200,1734,1934,347,-379,13.75,15993,218536
4,13108,江東区,393983,7594,3057,13004,9947,3077,542,3459,2917,696,222,39.44,9989,386389
4,13109,品川区,330615,3251,2166,13311,11145,855,-233,2316,2549,204,259,22.72,14552,327364
4,13110,目黒区,255175,2046,2387,11561,9174,-145,-121,1623,1744,14,-89,14.7,17359,253129
4,13111,大田区,658261,3408,2058,25429,23371,520,581,5346,4765,343,-94,59.46,11071,654853
4,13112,世田谷区,826875,6243,5550,36344,30794,-537,826,6070,5244,310,94,58.08,14237,820632
