地域階層,地域コード,地域,平成10年中／増減,平成10年中／転入,平成10年中／転出,平成11年中／増減,平成11年中／転入,平成11年中／転出,平成12年中／増減,平成12年中／転入,平成12年中／転出,平成13年中／増減,平成13年中／転入,平成13年中／転出,平成14年中／増減,平成14年中／転入,平成14年中／転出
0,13000,総数,702,395603,394901,390,401890,401500,-343,407370,407713,775,399544,398769,-24,391457,391481
1,13100,区部,-2050,259243,261293,-2233,263741,265974,-886,273054,273940,605,268309,267704,952,263736,262784
1,13200,市部,2649,133207,130558,2311,134859,132548,296,131205,130909,41,128275,128234,-1061,124874,125935
2,13300,郡部,225,2077,1852,374,2179,1805,328,2121,1793,359,2067,1708,263,2048,1785
2,13350,島部,-122,1076,1198,-62,1111,1173,-81,990,1071,-230,893,1123,-178,799,977
1,13100,区部,-2050,259243,261293,-2233,263741,265974,-886,273054,273940,605,268309,267704,952,263736,262784
4,13101,千代田区,-381,2097,2478,-348,2326,2674,-299,2283,2582,-88,2419,2507,-361,2103,2464
4,13102,中央区,425,4068,3643,1286,5263,3977,1664,5643,3979,1885,5840,3955,1332,5687,4355
4,13103,港区,595,8908,8313,-60,8629,8689,1510,10369,8859,1166,9622,8456,-395,8546,8941
4,13104,新宿区,-1198,12336,13534,-1401,12457,13858,-1316,12865,14181,-1038,13071,14109,-167,13488,13655
4,13105,文京区,-134,7188,7322,188,7799,7611,-249,7349,7598,132,7594,7462,-24,7496,7520
4,13106,台東区,-602,4483,5085,-297,4821,5118,-111,5212,5323,223,5404,5181,896,5864,4968
4,13107,墨田区,-299,5611,5910,-62,6163,6225,1537,7891,6354,242,6535,6293,395,6646,6251
4,13108,江東区,1385,11340,9955,1824,11727,9903,2707,13418,10711,3369,13787,10418,3077,13246,10169
4,13109,品川区,-223,10930,11153,-166,10980,11146,-86,11420,11506,196,11304,11108,855,11971,11116
4,13110,目黒区,-286,10754,11040,-31,11367,11398,225,11876,11651,244,11256,11012,-145,11194,11339
4,13111,大田区,725,14361,13636,56,13779,13723,-200,14054,14254,256,14172,13916,520,14195,13675
4,13112,世田谷区,-953,26888,27841,-463,27738,28201,-1369,27722,29091,-1239,26741,27980,-537,27009,27546
4,13113,渋谷区,62,11196,11134,290,11546,11256,347,12120,11773,-368,11139,11507,-809,10909,11718
4,13114,中野区,-2110,14614,16724,-2537,14906,17443,-2414,15629,18043,-2509,15005,17514,-1819,14102,15921
4,13115,杉並区,-2701,20647,23348,-1554,21685,23239,-1325,21588,22913,-1846,21268,23114,-2124,19902,22026
4,13116,豊島区,-490,10470,10960,-411,10649,11060,-588,10661,11249,-955,10265,11220,-1032,10187,11219
4,13117,北区,-515,8530,9045,-72,8786,8858,-1455,8480,9935,-558,8623,9181,-716,8285,9001
4,13118,荒川区,495,5141,4646,276,5060,4784,1611,6636,5025,543,5333,4790,1000,5883,4883
