品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,品目 5,Item 5,東京（港） Tokyo (Seaport),羽田（空港） Haneda (Airport),羽田（空港） Haneda (Airport),,
総額,Total,,,,,,,,,10994662,549446,12803024,,
食料品及び動物,Food and live animals,,,,,,,,,1458636,18239,111788,,
食料品及び動物,Food and live animals,肉類及び同調製品,Meat and meat preparations,,,,,,,489432,…,…,,
食料品及び動物,Food and live animals,魚介類及び同調製品,Fish and fish preparation,,,,,,,443353,…,…,,
食料品及び動物,Food and live animals,魚介類及び同調製品,Fish and fish preparation,魚介類,Fish,,,,,348835,…,…,,
食料品及び動物,Food and live animals,果実及び野菜,Fruits and vegetables,,,,,,,276198,…,…,,
飲料及びたばこ,Beverages and tobacco,,,,,,,,,410197,582,10725,,
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,285968,…,…,,
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,製造たばこ,"Tobacco, manufactured",,,,,276773,…,…,,
原材料,Crude materials,,,,,,,,,290308,2353,102118,,
鉱物性燃料,Mineral fuels,,,,,,,,,10240,442,1265,,
動植物性油脂,"Animal & vegetable oil, fat",,,,,,,,,25650,12,1381,,
化学製品,Chemicals,,,,,,,,,971914,66156,2388190,,
化学製品,Chemicals,元素及び化合物,"Chemical elements, compound",,,,,,,…,15010,382811,,
化学製品,Chemicals,元素及び化合物,"Chemical elements, compound",有機化合物,Organic chemicals,,,,,…,10093,356885,,
化学製品,Chemicals,医薬品,Medical products,,,,,,,…,40446,1726958,,
原料別製品,Manufactured goods,,,,,,,,,1084731,7957,1020595,,
原料別製品,Manufactured goods,織物用糸及び繊維製品,"Textile yarn, fabrics",,,,,,,305263,…,…,,
原料別製品,Manufactured goods,非鉄金属,Nonferrous metals,,,,,,,…,…,751079,,
原料別製品,Manufactured goods,非鉄金属,Nonferrous metals,銀及び白金族,Silver and platinum （group）,,,,,…,…,725931,,
原料別製品,Manufactured goods,非鉄金属,Nonferrous metals,銀及び白金族,Silver and platinum （group）,（白金族の金属）,(Platinum of group),,,…,…,720709,,
原料別製品,Manufactured goods,非鉄金属,Nonferrous metals,銀及び白金族,Silver and platinum （group）,（白金族の金属）,(Platinum of group),《パラジウム》,《Palladium》,…,…,364479,,
機械類及び輸送用機器,"Machinery, transport equip.",,,,,,,,,3922300,282098,6831325,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery,,,,,,,1538684,56135,2325328,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery,原動機,Power generating machine,,,,,…,19995,308268,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery,原動機,Power generating machine,（航空機用内燃機関）,(Aircraft engines),,,…,18238,…,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery,事務用機器,Office machines,,,,,858247,26768,1384677,,
機械類及び輸送用機器,"Machinery, transport equip.",一般機械,Machinery,事務用機器,Office machines,（電算機類（含周辺機器））,(Computers and units),,,680631,20539,1260572,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,,,,,,,2173571,95307,4302220,,
機械類及び輸送用機器,"Machinery, transport equip.",電気機器,Electrical machinery,音響・映像機器（含部品）,Audio and visual apparatus,,,,,400821,…,…,,
