年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending,,,,,,,,,,,,,,,,,,,
令和2,2020,0,,総数,Total,106232,8077,98155,97560,93613,476,2294,1177,8672,,,,,,,,,,,,,,,,,,,
令和3,2021,0,,総数,Total,111972,8672,103300,103218,98974,569,2405,1270,8754,,,,,,,,,,,,,,,,,,,
令和3,2021,1,,別表第一審判事件総数,Total number of cases of adjudication of domestic relations stipulated in Appended Table 1 of the Domestic Relations Case Procedure Act,107849,7305,100544,100593,97558,260,2012,763,7256,,,,,,,,,,,,,,,,,,,
令和3,2021,2,1,後見開始の審判及びその取消し,Adjudication on commencement of guardianship and rescission of such adjudication,3906,310,3596,3589,3463,12,27,87,317,,,,,,,,,,,,,,,,,,,
令和3,2021,2,2,保佐開始の審判・取消しなど,Adjudication on commencement of curatorship， rescission of such adjudication， etc.,2496,280,2216,2189,1975,22,150,42,307,,,,,,,,,,,,,,,,,,,
令和3,2021,2,3,補助開始の審判・取消しなど,Adjudication on commencement of assistance， rescission of such adjudication， etc.,1117,142,975,992,882,9,61,40,125,,,,,,,,,,,,,,,,,,,
令和3,2021,2,4,後見人等の選任,Appointment of a guardian， etc.,1861,73,1788,1762,1713,5,28,16,99,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち成年後見人の選任,(of which) Appointment of a guardian of an adult,599,28,571,575,551,4,12,8,24,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of an adult,661,4,657,647,640,-,2,5,14,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち保佐人の選任,(of which) Appointment of a curator,145,12,133,127,124,-,3,-,18,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち保佐監督人の選任,(of which) Appointment of a supervisor for a curator,177,6,171,170,169,-,1,-,7,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち補助人の選任,(of which) Appointment of an assistant,35,3,32,33,31,1,-,1,2,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち補助監督人の選任,(of which) Appointment of a supervisor for the assistant,55,1,54,54,54,-,-,-,1,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち未成年後見人の選任,(of which) Appointment of a guardian of a minor,166,19,147,133,121,-,10,2,33,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち未成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of a minor,23,-,23,23,23,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,5,離縁後の未成年後見人の選任,Appointment of a guardian of an adopted minor after dissolution of adoptive relation,1,-,1,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,
令和3,2021,2,6,後見人等の辞任,Resignation of a guardian of an adult， etc.,1037,48,989,987,967,2,10,8,50,,,,,,,,,,,,,,,,,,,
令和3,2021,2,7,後見人等の解任,Dismissal of a guardian of an adult， etc.,29,7,22,22,6,11,3,2,7,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち職権によるもの,(of which) Dismissal by the family court's authority,8,2,6,7,5,-,-,2,1,,,,,,,,,,,,,,,,,,,
令和3,2021,2,8,後見人の財産目録の作成の期間の伸長,Extension of the period for preparing an inventory of property by the guardian of an adult,2,1,1,2,2,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,9,後見人等の権限行使についての定め及びその取消し,Determination of the exercise of authority of an adult guardian， etc. and rescission of such determination,567,3,564,564,527,-,-,37,3,,,,,,,,,,,,,,,,,,,
令和3,2021,2,10,居住用不動産の処分についての許可,Permission for disposition of real property used for residence,1640,44,1596,1603,1544,2,50,7,37,,,,,,,,,,,,,,,,,,,
令和3,2021,2,11,特別代理人の選任（利益相反行為）,Appointment of a special agent (for conflict of interest),1199,124,1075,1073,1011,-,57,5,126,,,,,,,,,,,,,,,,,,,
令和3,2021,2,12,郵便物等の配達の嘱託,Redirection of mail， etc.,178,7,171,173,138,1,34,-,5,,,,,,,,,,,,,,,,,,,
令和3,2021,2,13,郵便物等の配達の嘱託取消,Rescission of redirection of mail， etc.,1,-,1,1,1,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,14,後見人等に対する報酬の付与,Remuneration to a guardian of an adult， etc.,25650,730,24920,24741,24707,4,27,3,909,,,,,,,,,,,,,,,,,,,
令和3,2021,2,15,後見等監督処分,Supervisory disposition of guardianship， etc.,15210,1858,13352,13482,13354,1,-,127,1728,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち職権によるもの,(of which) Disposition by the family court's authority,15185,1857,13328,13459,13332,-,-,127,1726,,,,,,,,,,,,,,,,,,,
令和3,2021,2,16,第三者が子等に与えた財産の管理者選任等,Appointment， etc. of a manager of property offered to a child， etc. by a third party,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,17,後見終了に伴う管理計算の期間の伸長,Extension of the period of settlement of account at the end of guardianship,4,1,3,4,4,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,18,成年被後見人死亡後の事務,Administrative process after the death of an adult ward,604,7,597,596,569,-,27,-,8,,,,,,,,,,,,,,,,,,,
令和3,2021,2,19,臨時保佐人等の選任（利益相反行為）,Appointment of a temporary curator， etc. (for conflict of interest),8,-,8,7,6,-,1,-,1,,,,,,,,,,,,,,,,,,,
令和3,2021,2,20,不在者の財産の管理に関する処分,Disposition regarding the administration of property of an absentee,1146,96,1050,1025,846,7,125,47,121,,,,,,,,,,,,,,,,,,,
令和3,2021,2,21,失踪の宣告及びその取消し,Adjudication of disappearance and rescission of such adjudication,716,290,426,448,350,5,81,12,268,,,,,,,,,,,,,,,,,,,
令和3,2021,2,22,夫婦の財産管理者変更・共有財産の分割,Change of an administrator of property under a Matrimonial Property Contract/division of property in co-ownership,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,23,特別代理人の選任（嫡出否認）,Appointment of a special agent (rebuttal of presumption of a child in wedlock),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,24,子の氏の変更についての許可,Permission for changing the surname of a child,10981,152,10829,10795,10740,-,26,29,186,,,,,,,,,,,,,,,,,,,
令和3,2021,2,25,養子をするについての許可,Permission for adoption,150,39,111,112,73,2,34,3,38,,,,,,,,,,,,,,,,,,,
令和3,2021,2,26,離縁をするについての許可,Permission for dissolution of adoption ,284,26,258,268,250,1,15,2,16,,,,,,,,,,,,,,,,,,,
令和3,2021,2,27,特別養子縁組の成立及びその離縁に関する処分,Disposition on establishment and dissolution of special adoption ,171,53,118,118,95,6,16,1,53,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち離縁に関する処分,(of which) Disposition regarding dissolution of special adoption ,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,28,親権喪失，親権停止又は管理権喪失の審判及びその取消し,Adjudication on loss or suspension of parental authority or loss of the right of administration of property / rescission of such adjudication,37,7,30,22,7,1,12,2,15,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち親権喪失の審判,(of which) Adjudication on loss of parental authority,10,4,6,8,-,-,8,-,2,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち親権停止の審判,(of which) Adjudication on suspension of parental authority,27,3,24,14,7,1,4,2,13,,,,,,,,,,,,,,,,,,,
令和3,2021,3,,うち管理権喪失の審判,(of which) Adjudication on loss of the right of administration of property,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,29,親権・管理権の辞任・回復,Surrender or restoration of parental authority or the right of administration of property,1,-,1,1,1,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,30,扶養義務の設定及びその取消し,Establishment of an obligation of support / rescission of such establishment,5,1,4,2,2,-,-,-,3,,,,,,,,,,,,,,,,,,,
令和3,2021,2,31,推定相続人の廃除及びその取消し,Disinheritance of presumptive heirs / rescission of such disinheritance,60,23,37,34,5,17,12,-,26,,,,,,,,,,,,,,,,,,,
令和3,2021,2,32,推定相続人廃除等に伴う遺産の管理に関する処分,Disposition regarding administration of estates upon disinheritance of presumptive heirs， etc.,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
令和3,2021,2,33,相続の承認又は放棄の期間の伸長,Extension of the period for acceptance or renunciation of inheritance,1371,94,1277,1292,1204,-,84,4,79,,,,,,,,,,,,,,,,,,,
令和3,2021,2,34,相続財産の保存又は管理に関する処分,Disposition regarding preservation or management of inherited property,402,24,378,390,374,-,16,-,12,,,,,,,,,,,,,,,,,,,
令和3,2021,2,35,相続の限定承認又は放棄の取消し,Rescission of qualified acceptance or renunciation of inheritance,18,2,16,14,6,3,5,-,4,,,,,,,,,,,,,,,,,,,
令和3,2021,2,36,相続の限定承認の申述受理,Acceptance of a statement of qualified acceptance of inheritance,127,16,111,109,107,-,2,-,18,,,,,,,,,,,,,,,,,,,
令和3,2021,2,37,鑑定人の選任,Appointment of an appraiser,11,-,11,11,11,-,-,-,-,,,,,,,,,,,,,,,,,,,
