年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成29,2017,0,,総数,Total,11,58,33,27124951,2494219,24630733,133052,396584,16120,11326
平成30,2018,0,,総数,Total,11,59,33,27195414,2504278,24691136,133157,399750,16107,11331
令和元,2019,0,,総数,Total,11,59,33,27264618,2516384,24748234,133308,403706,16172,11441
令和2,2020,0,,総数,Total,11,59,33,27340914,2529752,24811163,133499,408276,16238,11539
令和3,2021,0,,総数,Total,11,81,33,27402798,2539784,24863014,133643,412284,16260,11602
令和3,2021,1,13100,区部,All ku,5,24,21,16744634,1697124,15047510,90930,266942,9442,7622
令和3,2021,2,13101,千代田区,Chiyoda-ku,-,-,1,290530,46686,243844,1563,4407,319,216
令和3,2021,2,13102,中央区,Chuo-ku,-,1,-,316868,39548,277320,1847,6093,347,386
令和3,2021,2,13103,港区,Minato-ku,-,1,1,433496,67081,366415,2602,6787,386,335
令和3,2021,2,13104,新宿区,Shinjuku-ku,-,1,1,556507,66626,489880,3687,8290,337,273
令和3,2021,2,13105,文京区,Bunkyo-ku,-,1,1,321976,41425,280551,1930,5113,263,207
令和3,2021,2,13106,台東区,Taito-ku,-,-,-,413426,33991,379435,2414,7639,236,210
令和3,2021,2,13107,墨田区,Sumida-ku,-,-,1,508190,56150,452040,2889,8844,375,318
令和3,2021,2,13108,江東区,Koto-ku,-,4,1,760456,107873,652583,3828,10934,694,584
令和3,2021,2,13109,品川区,Shinagawa-ku,-,-,1,592588,58493,534095,2871,9046,334,352
令和3,2021,2,13110,目黒区,Meguro-ku,-,1,1,454302,38159,416143,2435,7749,186,211
令和3,2021,2,13111,大田区,Ota-ku,-,2,1,1193196,116571,1076625,6278,20614,688,693
令和3,2021,2,13112,世田谷区,Setagaya-ku,2,3,1,1653894,167778,1486116,9089,25235,819,705
令和3,2021,2,13113,渋谷区,Shibuya-ku,-,-,1,400327,39535,360792,2282,6817,208,143
令和3,2021,2,13114,中野区,Nakano-ku,-,-,1,559034,48879,510155,2799,8792,297,181
令和3,2021,2,13115,杉並区,Suginami-ku,1,1,1,1100089,112499,987590,5511,15837,576,363
令和3,2021,2,13116,豊島区,Toshima-ku,-,-,1,477889,45560,432329,2510,8012,243,239
令和3,2021,2,13117,北区,Kita-ku,-,-,1,564987,51911,513077,3021,8744,307,237
令和3,2021,2,13118,荒川区,Arakawa-ku,-,1,1,330238,29427,300811,2094,6121,197,97
令和3,2021,2,13119,板橋区,Itabashi-ku,1,2,1,861771,97151,764620,4996,13362,463,328
令和3,2021,2,13120,練馬区,Nerima-ku,-,1,1,1321243,108823,1212420,7348,19715,479,353
令和3,2021,2,13121,足立区,Adachi-ku,-,2,1,1439644,125119,1314526,7386,22345,605,436
令和3,2021,2,13122,葛飾区,Katsushika-ku,1,1,1,942962,101836,841126,4819,14981,538,334
令和3,2021,2,13123,江戸川区,Edogawa-ku,-,2,1,1251023,96007,1155017,6731,21465,545,421
令和3,2021,1,,市郡部,shi and gun,3,57,12,10647342,831956,9815386,42712,145325,6789,3960
令和3,2021,2,13201,八王子市,Hachioji-shi,-,14,1,1658967,110886,1548081,6144,22617,1063,494
令和3,2021,2,13202,立川市,Tachikawa-shi,-,2,1,416261,36389,379873,2055,5763,188,116
令和3,2021,2,13204,三鷹市,Mitaka-shi,-,2,-,364504,24057,340447,1660,5548,112,79
令和3,2021,2,13205,青梅市,Ome-shi,-,3,1,601718,30822,570897,3564,7463,559,186
令和3,2021,2,13206,府中市,Fuchu-shi,-,3,1,599882,56529,543353,3039,8803,224,229
令和3,2021,2,13208,調布市,Chofu-shi,-,2,1,427612,20886,406726,1877,7117,140,79
令和3,2021,2,13209,町田市,Machida-shi,-,2,1,1312773,148788,1163985,3929,16379,934,539
令和3,2021,2,13210,小金井市,Koganei-shi,-,-,-,240004,16432,223573,1148,3289,96,109
令和3,2021,2,13211,小平市,Kodaira-shi,-,2,1,423167,29866,393300,1525,5173,173,94
令和3,2021,2,13212,日野市,Hino-shi,-,3,1,530509,35132,495378,1930,7931,338,191
令和3,2021,2,13213,東村山市,Higashimurayama-shi,1,2,-,315455,24056,291399,997,4327,139,122
令和3,2021,2,13214,国分寺市,Kokubunji-shi,-,1,-,261680,15691,245989,1255,3317,74,88
令和3,2021,2,13215,国立市,Kunitachi-shi,-,2,-,180515,11636,168879,916,2397,83,86
令和3,2021,2,13218,福生市,Fussa-shi,-,1,-,162140,8921,153219,615,2316,91,46
令和3,2021,2,13219,狛江市,Komae-shi,-,1,-,157900,14919,142981,691,2555,88,100
令和3,2021,2,13220,東大和市,Higashiyamato-shi,-,2,1,250914,20989,229925,848,3634,138,135
令和3,2021,2,13221,清瀬市,Kiyose-shi,-,-,-,171098,14429,156669,519,2003,100,95
令和3,2021,2,13222,東久留米市,Higashikurume-shi,-,2,1,273345,22370,250975,1072,3695,175,140
令和3,2021,2,13223,武蔵村山市,Musashimurayama-shi,-,-,-,232522,20732,211790,652,3089,128,80
令和3,2021,2,13224,多摩市,Tama-shi,-,3,1,224200,11438,212763,936,3216,124,137
令和3,2021,2,13225,稲城市,Inagi-shi,-,2,-,206239,4323,201916,1047,3015,111,58
令和3,2021,2,13228,あきる野市,Akiruno-shi,-,3,1,404211,26983,377228,1355,5469,441,210
令和3,2021,2,13229,西東京市,Nishitokyo-shi,-,2,-,379723,31196,348527,1632,5599,211,101
令和3,2021,2,13303,瑞穂町,Mizuho-machi,-,1,-,205834,19071,186763,782,2491,108,60
令和3,2021,2,13305,日の出町,Hinode-machi,-,1,-,115061,4634,110428,252,1494,181,133
令和3,2021,2,13308,奥多摩町,Okutama-machi,-,-,-,116864,-,116864,358,1117,198,18
令和3,2021,2,,多摩ニュータウン,Tama New Town,-,-,-,398358,55153,343205,1914,5489,539,210
令和3,2021,2,,その他,Others,2,1,-,15886,15632,254,-,19,33,25
令和3,2021,1,99999,都外,Outside Tokyo-to,3,-,-,10822,10704,118,1,17,29,20
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,
6-3  地域別上水道施設及び付属設備（平成29～令和3年度末） 6-3  WATERWORKS FACILITIES AND EQUIPMENT BY DISTRICT ( End of Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,
この表は， 都水道局の事業実績である。 区部及び多摩地区26市町に給水するほか， 武蔵野， 昭島， 羽村の 3市に分水している。,,,,,,,,,,,,,,,
The table shows business activities of the Bureau of Waterworks， Tokyo Metropolitan Government， with water supplied  to the “ku” area and the 26 cities and towns in the Tama area. Water is also shared with Musashino， Akishima and Hamura cities， which have their own water supply entities.,,,,,,,,,,,,,,,
資料：都水道局総務部企画調整課 Source: Bureau of  Waterworks， TMG　　　,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市郡部・都外　２:区市町村・多摩ニュータウン・その他）,,,,,,,,,,,,,,,
