地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated construction cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated construction cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated construction cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated construction cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated construction cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated construction cost
0,13000,,総数,Tokyo-to,45075,14487129,450774538,34129,3853753,67107396,89,501867,16722372,2819,4999156,186850695,7577,5097882,179500724,5,210,2552,456,34261,590799
1,13100,,区部,All ku,27152,11658645,387644001,18876,2214295,38808893,78,469455,15449522,2551,4467303,169719097,5326,4476770,163097094,4,118,1152,317,30704,568243
3,13101,1,千代田区,Chiyoda-ku,151,173426,7669320,25,3801,26414,2,11259,x,40,65695,2671480,79,86344,4034726,-,-,-,5,6327,x
3,13102,2,中央区,Chuo-ku,218,583830,28053388,20,2400,40777,6,13290,771000,51,172791,8958544,131,393589,18277817,-,-,-,10,1760,5250
3,13103,3,港区,Minato-ku,360,2189222,93403384,96,15633,262154,9,53397,2784390,118,556938,25026481,133,1561969,65318529,-,-,-,4,1285,11830
3,13104,4,新宿区,Shinjuku-ku,794,424777,14797243,412,47460,851665,6,4608,198150,149,203331,7121327,213,162199,6522371,-,-,-,14,7179,103730
3,13105,5,文京区,Bunkyo-ku,517,263414,5863050,327,38667,648525,3,2201,79800,77,77637,2934163,106,144785,2200122,-,-,-,4,124,440
3,13106,6,台東区,Taito-ku,421,288015,9933526,175,18240,406678,1,243,x,147,223363,7664860,95,44632,1776638,-,-,-,3,1537,x
3,13107,7,墨田区,Sumida-ku,728,260334,8440701,419,43378,742050,5,8118,255700,147,167620,6011977,143,40217,1421873,-,-,-,14,1001,9101
3,13108,8,江東区,Koto-ku,928,465813,13373781,400,44160,801303,-,-,-,115,262237,8645434,373,155005,3894731,1,49,x,39,4362,x
3,13109,9,品川区,Shinagawa-ku,942,614908,17341080,609,69745,1225175,3,8053,441317,133,196586,7498934,183,339766,8166900,-,-,-,14,758,8754
3,13110,10,目黒区,Meguro-ku,802,218625,6515295,538,73981,1270552,2,421,x,112,74978,2987274,142,67964,2196138,-,-,-,8,1281,x
3,13111,11,大田区,Ota-ku,2068,746592,18965946,1532,172045,3103542,8,223570,x,185,180978,6020076,327,169511,5821187,1,13,x,15,475,3478
3,13112,12,世田谷区,Setagaya-ku,3197,766977,22729821,2435,303127,5229501,4,1495,59170,203,244386,9366494,541,217739,8072200,-,-,-,14,230,2456
3,13113,13,渋谷区,Shibuya-ku,556,674482,35054949,191,27449,487711,6,60767,2995996,180,472642,26599503,179,113624,4971739,-,-,-,-,-,-
3,13114,14,中野区,Nakano-ku,901,250605,7106009,672,76651,1333686,1,4087,x,99,81208,2392054,127,88444,3248055,-,-,-,2,215,x
3,13115,15,杉並区,Suginami-ku,2283,483142,12652472,1740,195814,3472397,8,21149,842931,110,148857,4932477,408,116990,3402142,-,-,-,17,332,2525
3,13116,16,豊島区,Toshima-ku,723,244568,7881394,465,54676,1124707,3,12037,470500,108,130226,4624153,144,47558,1661712,-,-,-,3,71,322
3,13117,17,北区,Kita-ku,1009,425356,12654952,705,78471,1353607,2,8235,x,98,266228,8455985,202,72367,2428160,-,-,-,2,55,x
3,13118,18,荒川区,Arakawa-ku,632,156419,4131876,471,50305,825594,2,7323,x,53,67780,2170905,102,30900,1034527,-,-,-,4,111,x
3,13119,19,板橋区,Itabashi-ku,1325,389225,10774538,938,116800,2008060,5,20475,902635,99,156139,5090422,267,95510,2770371,-,-,-,16,301,3050
3,13120,20,練馬区,Nerima-ku,2602,579743,12579418,2003,225164,4039484,-,-,-,94,190890,4081249,466,162983,4454437,-,-,-,39,706,4248
3,13121,21,足立区,Adachi-ku,2466,586668,14377457,1911,235422,4095579,-,-,-,98,210861,6426687,415,139649,3849392,-,-,-,42,736,5799
3,13122,22,葛飾区,Katsushika-ku,1623,345182,10299392,1327,149654,2562191,1,1257,x,61,96182,3252119,214,97385,4419128,-,-,-,20,704,x
3,13123,23,江戸川区,Edogawa-ku,1906,527322,13045009,1465,171252,2897541,1,7470,x,74,219750,6786499,336,127640,3154199,2,56,x,28,1154,6165
1,13200,,市部,All shi,17538,2737305,61203884,14959,1607406,27734745,10,32250,x,247,523373,16679682,2191,571032,15499461,1,92,x,130,3152,18746
3,13201,1,八王子市,Hachioji-shi,1859,291833,6611414,1531,173677,2979416,-,-,-,41,52818,1946890,281,65207,1684143,-,-,-,6,131,965
3,13202,2,立川市,Tachikawa-shi,825,144209,3736005,674,73266,1287350,-,-,-,24,42727,1652758,127,28216,795897,-,-,-,-,-,-
3,13203,3,武蔵野市,Musashino-shi,503,83117,2099716,373,44613,802005,-,-,-,16,14753,536500,102,23221,757977,-,-,-,12,530,3234
3,13204,4,三鷹市,Mitaka-shi,655,129921,3448769,528,57155,1041437,2,11072,x,19,26225,x,106,35469,1067594,-,-,-,-,-,-
3,13205,5,青梅市,Ome-shi,500,73510,1509235,431,52332,874061,-,-,-,3,8293,308000,58,12747,326535,-,-,-,8,138,639
3,13206,6,府中市,Fuchu-shi,1022,167786,3587238,844,84744,1423582,4,14327,478600,13,21753,x,159,46830,1032636,1,92,x,1,40,x
3,13207,7,昭島市,Akishima-shi,474,80043,1939380,369,40943,736698,-,-,-,4,13474,490200,89,25312,711029,-,-,-,12,314,1453
3,13208,8,調布市,Chofu-shi,1005,152492,3268094,827,80069,1405047,1,11,x,12,29850,778879,163,42532,1084018,-,-,-,2,30,x
