年度,Fiscal year,営業キロ Length of line(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets,使用車両数 Vehicles used,走行キロ数 Distance traveled(km),輸送人員 Passengers,旅客運賃収入 Passenger fare revenue(千円 1000yen),使用電力量 Electric power used (kWh)
平成29,2017,9.7,13,171302,123471,47831,26455,7756455,31392076,5900405,6371127
平成30,2018,9.7,13,177165,128431,48734,26490,7748462,32431746,6091116,6464108
令和元,2019,9.7,13,182089,133414,48675,26495,7799633,33209808,6262829,6451449
令和2,2020,9.7,13,144343,105370,38973,28225,8109091,26469161,5058751,6734081
令和3,2021,9.7,13,152811,107472,45339,27515,8012377,28057661,5399595,6538726
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-10  都営日暮里・舎人ライナーの運輸成績 (平成29～令和3年度) 4-10 OPERATIONS OF TOEI NIPPORI-TONERI LINER( Fiscal Years 2017-2021 ),,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,
