地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／件数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／件数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／件数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／件数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／件数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,8702056,134079,8635856,16975,1942691,67248,2789705,813,56621,49043,3846839,1489,66200,224,10620,405,9606,812,43541,48,2433
1,13100,,区部,All ku,6455204,106457,6408237,9830,1164089,58625,2402287,692,47376,37310,2794485,1045,46967,104,5913,247,6175,647,32550,47,2329
3,13101,1,千代田区,Chiyoda-ku,39662,700,39650,13,2207,378,18020,5,361,304,19062,1,12,-,-,1,12,-,-,-,-
3,13102,2,中央区,Chuo-ku,58697,1338,58663,29,2997,823,32848,67,3197,419,19621,1,34,-,-,-,-,1,34,-,-
3,13103,3,港区,Minato-ku,479974,4385,479808,82,15340,1453,94287,8,1716,2842,368465,7,166,-,-,2,55,5,111,-,-
3,13104,4,新宿区,Shinjuku-ku,235188,4734,234035,258,30205,3096,120118,141,7275,1239,76437,20,1153,3,155,5,624,12,374,-,-
3,13105,5,文京区,Bunkyo-ku,127719,2199,127462,260,32896,1444,62605,100,3304,395,28657,7,257,2,104,1,12,4,141,-,-
3,13106,6,台東区,Taito-ku,245168,5196,244629,113,12196,3288,145133,-,-,1795,87300,21,539,1,24,4,109,16,406,-,-
3,13107,7,墨田区,Sumida-ku,228998,4991,228434,237,26673,3408,134947,18,1668,1328,65146,20,564,1,28,4,99,15,437,-,-
3,13108,8,江東区,Koto-ku,257297,5230,254043,187,21584,2893,105999,1,111,2149,126349,73,3254,1,14,18,651,34,1200,20,1389
3,13109,9,品川区,Shinagawa-ku,281014,5123,280234,450,49785,3020,118352,101,6761,1552,105336,30,780,1,23,9,184,16,440,4,133
3,13110,10,目黒区,Meguro-ku,182435,2709,181982,477,62062,1868,88320,24,3761,340,27839,15,453,5,240,4,74,6,139,-,-
3,13111,11,大田区,Ota-ku,389744,7381,388292,764,86987,4385,172893,21,839,2211,127573,53,1452,5,144,10,268,38,1040,-,-
3,13112,12,世田谷区,Setagaya-ku,576834,8044,573394,1701,210836,4301,187724,6,457,2036,174377,95,3440,13,733,29,564,45,1910,8,233
3,13113,13,渋谷区,Shibuya-ku,212457,3184,211426,189,28678,2009,90385,19,5365,967,86998,11,1031,4,840,3,70,3,73,1,48
3,13114,14,中野区,Nakano-ku,181707,3358,181475,332,36817,2127,82431,-,-,899,62227,6,232,1,15,1,117,4,100,-,-
3,13115,15,杉並区,Suginami-ku,392578,6098,378508,1048,117263,3258,131465,7,342,1785,129438,84,14070,22,1444,11,432,45,11955,6,239
3,13116,16,豊島区,Toshima-ku,205450,3942,204915,288,33277,2203,84505,19,2210,1432,84923,6,535,4,443,-,-,-,-,2,92
3,13117,17,北区,Kita-ku,332526,5122,329894,344,36927,2472,105594,12,1501,2294,185872,63,2632,2,68,6,139,53,2391,2,34
3,13118,18,荒川区,Arakawa-ku,136149,2308,135734,201,22508,1235,49004,1,68,871,64154,18,415,1,15,3,93,12,251,2,56
3,13119,19,板橋区,Itabashi-ku,333277,6163,331676,410,50574,3662,141730,1,148,2090,139224,52,1601,5,209,18,424,27,863,2,105
3,13120,20,練馬区,Nerima-ku,467342,6889,462677,916,104891,2787,108678,48,3632,3138,245476,152,4665,7,271,36,678,109,3716,-,-
3,13121,21,足立区,Adachi-ku,448268,7198,444475,628,74292,4099,157962,22,2636,2449,209585,130,3793,14,577,38,729,78,2487,-,-
3,13122,22,葛飾区,Katsushika-ku,250173,4745,248465,441,49289,1993,65139,47,1224,2264,132813,52,1708,3,198,9,170,40,1340,-,-
3,13123,23,江戸川区,Edogawa-ku,392547,5420,388366,462,55805,2423,104148,24,800,2511,227613,128,4181,9,368,35,671,84,3142,-,-
1,13200,,市部,All shi,2212030,27230,2193116,6975,760039,8507,381398,106,8632,11642,1043047,433,18914,113,4459,156,3389,163,10962,1,104
3,13201,1,八王子市,Hachioji-shi,215364,2688,214506,741,84251,1026,39565,9,448,912,90242,33,858,15,378,10,309,8,171,-,-
3,13202,2,立川市,Tachikawa-shi,104193,1421,103742,323,35674,538,22784,5,919,555,44365,15,451,4,170,5,87,6,194,-,-
