年次,Year,月次 ,Month,東京（港） Tokyo (Seaport)／輸出 Exports,東京（港） Tokyo (Seaport)／輸入 Imports,羽田（空港） Haneda (Airport)／輸出 Exports,羽田（空港） Haneda (Airport)／輸入 Imports,成田（空港） Narita (Airport)／輸出 Exports,成田（空港） Narita (Airport)／輸入 Imports,,,,,,,,,,,,,,
平成28,2016,総数,Total,5820405,10587324,333147,694175,9034949,11313120,,,,,,,,,,,,,,
平成29,2017,総数,Total,5862127,11701087,458844,853071,11167865,12244445,,,,,,,,,,,,,,
平成30,2018,総数,Total,6039750,11656455,362954,982619,11458775,13703989,,,,,,,,,,,,,,
平成31･令和元,2019,総数,Total,5823726,11491331,345267,1216341,10525596,12956021,,,,,,,,,,,,,,
令和2,2020,総数,Total,5233124,10994662,243013,549446,10158849,12803024,,,,,,,,,,,,,,
令和2,2020,1,Jan.,381249,1031632,20194,73286,798058,1067607,,,,,,,,,,,,,,
令和2,2020,2,Feb.,476786,667853,29681,62051,910954,972860,,,,,,,,,,,,,,
令和2,2020,3,Mar.,474812,918419,22132,101623,876090,1165615,,,,,,,,,,,,,,
令和2,2020,4,Apr.,431431,995365,10950,46300,752895,1066944,,,,,,,,,,,,,,
令和2,2020,5,May,345825,928216,28523,22488,699901,957713,,,,,,,,,,,,,,
令和2,2020,6,June,375572,945650,23644,24600,760099,993577,,,,,,,,,,,,,,
令和2,2020,7,July,394242,926142,22391,24439,842879,1019937,,,,,,,,,,,,,,
令和2,2020,8,Aug.,409076,875078,15839,41551,793022,896975,,,,,,,,,,,,,,
令和2,2020,9,Sept.,414251,922422,13581,29168,913660,1009663,,,,,,,,,,,,,,
令和2,2020,10,Oct.,487629,924178,16619,26623,943335,1176771,,,,,,,,,,,,,,
令和2,2020,11,Nov.,502057,929442,16594,32463,884731,1275542,,,,,,,,,,,,,,
令和2,2020,12,Dec.,540192,930265,22866,64855,983224,1199819,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,,,
12-5  輸出入額 (平成28～令和2年) 12-5  VALUE OF FOREIGN TRADE ( 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡価額 (F.O.B.)，輸入は到着価額 (C.I.F.) である。 ,,,,,,,,,,,,,,,,,,,,,,,
This table has been prepared in reference to import/export declarations， reshipment declarations， notifications of the seaports/airports of entry/departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.,,,,,,,,,,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,,,,,,,,,,
（単位  百万円）(In millions of yen)  ,,,,,,,,,,,,,,,,,,,,,,,
