年度末,End of fiscal year,一般加入電話 Number of landline phones／総数 Total,一般加入電話 Number of landline phones／単独 Individual,一般加入電話 Number of landline phones／事業所集団 Establishments,一般加入電話住宅用比率 Percentage of telephones for residential use (%),ISDN契約数 Number of ISDN subscriptions／INSﾈｯﾄ64 64kbps,ISDN契約数 Number of ISDN subscriptions／INSﾈｯﾄ1500 1500kbps,移動体通信ｻｰﾋﾞｽ加入数 Number of mobile communication service subscriptions／携帯電話 Cellular phones,公衆電話 Payphones／総数 Total,公衆電話 Payphones／総数 Total／うちデジタル電話 of which are digital payphones,ブロードバンド契約数 Broadband subscriptions／CATV Cable television,ブロードバンド契約数 Broadband subscriptions／DSL Digital subscriber line,ブロードバンド契約数 Broadband subscriptions／FTTH Fiber to the home,ブロードバンド契約数 Broadband subscriptions／BWA Broadband wireless access,ブロードバンド契約数 Broadband subscriptions／3.9-4世代 3.9G/4G LTE(Long-term evolution)
平成29,2017,1945,1939,6,69,345,8,47329,16,10,1368,256,4121,14640,30100
平成30,2018,1823,1817,6,68,318,7,52648,16,10,1406,211,4165,17235,…
令和元,2019,1765,1760,5,65,316,10,59204,16,8,1394,173,4338,20174,…
令和2,2020,1600,1595,5,64.6,282,10,61813,15,7,1378,132,4569,20688,…
令和3,2021,1488,1484,4,64.3,255,9,66465,15,6,1373,79,4791,26227,…
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,,,,
5-3　一般加入電話，公衆電話及びインターネット契約数等(平成29～令和3年度末) 5-3 LANDLINE， PAYPHONE， AND INTERNET SUBSCRIPTIONS ( End of Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,
注) 「単独」 には 「構内交換」 を含む。,,,,,,,,,,,,,,,
Note:  “Individual” includes PBX (private branch exchange phone systems).,,,,,,,,,,,,,,,
資料：東日本電信電話株式会社東京事業部，総務省総合通信基盤局，総務省関東総合通信局 Source: Nippon Telegraph and Telephone East Corporation; Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,
(単位　千件) (In thousands),,,,,,,,,,,,,,,
