項目,Item,平成30年度 Fiscal year 2018／実数 Value,平成30年度 Fiscal year 2018／構成比 Percentage Distribution (%),平成30年度 Fiscal year 2018／対前年度増加率 Percent changes from previous fiscal year (%),令和元年度 Fiscal year 2019／実数 Value,令和元年度 Fiscal year 2019／構成比 Percentage Distribution (%),令和元年度 Fiscal year 2019／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),56165.2,48.7,2.9,56179.3,48.6,0
営業余剰・混合所得,Operating surplus and mixed income,31823,27.6,-0.8,31661.8,27.4,-0.5
固定資本減耗,Consumption of fixed capital,21384.2,18.5,1.8,21658.3,18.7,1.3
生産･輸入品に課される税,Taxes on production and imports,6333.9,5.5,0.2,6522.4,5.6,3
（控除）補助金,(less) Subsidies,324.1,0.3,9,339.4,0.3,4.7
都内総生産 (生産側),Gross prefectural domestic product (production approach),115382.2,100,1.5,115682.4,100,0.3
民間最終消費支出,Private final consumption expenditure,43405,37.6,1.9,43710.1,37.8,0.7
地方政府等最終消費支出,Final consumption expenditure of local government and local social security funds,7386,6.4,0.4,7718.4,6.7,4.5
都内総固定資本形成,Gross prefectural domestic fixed capital formation,21664.1,18.8,1.7,22030.5,19,1.7
在庫変動,Changes in inventories,398.5,0.3,-,843.3,0.7,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,37682.8,32.7,2.3,37653.3,32.5,-0.1
統計上の不突合,Statistical discrepancy,4845.9,4.2,-,3726.8,3.2,-
都内総生産 (支出側),Gross prefectural domestic product (expenditure approach),115382.2,100,1.5,115682.4,100,0.3
,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS,,,,,,,
"16-1  都内総生産勘定 (生産側及び支出側) (平成30, 令和元年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2018 and 2019 )",,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
