年度末,End of fiscal year,都電 Toei Streetcar／営業キロ Length of line(km),都電 Toei Streetcar／運転系統 Operation routes／系統数 Number of routes,都電 Toei Streetcar／運転系統 Operation routes／総延長 Total length(km),都電 Toei Streetcar／停留場数 Number of stops,都電 Toei Streetcar／在籍車両数 Vehicles owned(両 vehicles),都電 Toei Streetcar／平均定員 Average passenger capacity(人 passengers),都バス Toei Bus／営業キロ Length of line(km),都バス Toei Bus／運転系統 Operation routes／系統数 Number of routes,都バス Toei Bus／運転系統 Operation routes／総延長 Total length(km),都バス Toei Bus／停留所数 Number of stops,都バス Toei Bus／在籍車両数 Vehicles owned(両 vehicles),都バス Toei Bus／平均定員 Average passenger capacity(人 passengers),
平成29,2017,12.2,1,12.2,30,36,96,737.8,129,1072,3811,1476,72.7,
平成30,2018,12.2,1,12.2,30,33,88.8,741.4,130,1081.8,3816,1485,73.2,
令和元,2019,12.2,1,12.2,30,33,96,743.8,131,1090.9,3814,1509,74,
令和2,2020,12.2,1,12.2,30,33,96,744.6,131,1090.9,3817,1527,75,
令和3,2021,12.2,1,12.2,30,33,96,765.1,131,1090.9,3831,1495,75.3,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (1)  営業設備 (平成29～令和3年度末) ａ　都電 ｂ　都バス 4-9  OPERATIONS OF TOEI TRANSPORTATION (1)  OPERATION FACILITIES ( End of Fiscal Years 2017-2021 ) ａ　Toei Streetcar ｂ　Toei Bus,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,
