年次,Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),野伏港 (新島村) Nobushi Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
平成29,2017,移出 ,Leaving,,総数,Total,168028,15471,11115,4095,54633,8536,…,-,12955,5630,4084,25848,862,2824,14049,7926
平成30,2018,移出 ,Leaving,,総数,Total,114277,18806,10715,4514,4974,7370,…,-,4977,6406,4934,25651,1060,2113,16459,6298
平成31･令和元,2019,移出 ,Leaving,,総数,Total,117257,14394,10240,6878,3273,16246,…,-,6453,5649,4297,23848,505,2919,15587,6968
令和2,2020,移出 ,Leaving,,総数,Total,140401,18769,9676,9212,4118,13395,4591,-,7113,5522,6133,31916,1097,3252,17502,8105
令和3,2021,移出 ,Leaving,,総数,Total,127538,14912,10662,7299,3026,13042,3717,-,7453,5778,5542,27934,1040,2705,17100,7328
令和3,2021,移出 ,Leaving,1,農水産品,Agricultural and aquatic products,11287,572,1513,45,388,495,15,-,1215,920,146,4583,303,15,869,208
令和3,2021,移出 ,Leaving,2,林産品,Forestry products,3505,-,-,-,-,318,-,-,23,3,27,2384,91,22,585,52
令和3,2021,移出 ,Leaving,3,鉱産品,Mineral products,585,-,-,300,-,264,-,-,-,-,-,-,-,1,18,2
令和3,2021,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,25593,3231,404,3026,511,2387,223,-,2767,1910,2395,4002,68,484,2712,1473
令和3,2021,移出 ,Leaving,5,化学工業品,Chemical industrial products,2804,118,11,7,92,567,-,-,-,18,13,1778,24,-,144,32
令和3,2021,移出 ,Leaving,6,軽工業品,Light industrial products,1027,-,-,213,-,34,-,-,33,-,81,251,17,6,385,7
令和3,2021,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,6451,617,343,-,-,233,379,-,90,82,273,1554,38,76,2262,504
令和3,2021,移出 ,Leaving,8,特殊品,Special goods,69391,7598,8079,3705,2035,6337,2895,-,3279,2718,1884,13100,492,2094,10125,5050
令和3,2021,移出 ,Leaving,9,分類不能のもの,Unclassifiable goods,6895,2776,312,3,-,2407,205,-,46,127,723,282,7,7,-,-
平成29,2017,移入,Entering,,総数,Total,569625,95126,36021,65512,26984,66237,…,-,23518,36338,35928,94094,21561,16170,40502,11634
平成30,2018,移入,Entering,,総数,Total,534941,79560,22583,27576,70250,67206,…,-,15439,42729,16271,97812,28008,15314,40329,11864
平成31･令和元,2019,移入,Entering,,総数,Total,561047,92352,21918,28696,21417,80759,…,-,56384,22781,19214,109173,43502,14230,40047,10574
令和2,2020,移入,Entering,,総数,Total,514811,108389,23904,28674,24052,58212,7128,-,18893,22128,18021,108229,23220,19018,43144,11799
令和3,2021,移入,Entering,,総数,Total,527352,96391,20567,34376,26927,74107,8742,-,19424,20400,27221,108375,15742,19597,37725,17758
令和3,2021,移入,Entering,1,農水産品,Agricultural and aquatic products,30824,5625,5977,62,855,3556,247,-,900,1555,490,8865,591,11,1798,292
令和3,2021,移入,Entering,2,林産品,Forestry products,7477,2633,251,89,162,421,105,-,96,180,360,2459,44,339,200,138
令和3,2021,移入,Entering,3,鉱産品,Mineral products,215974,34509,3600,22467,19515,40751,3300,-,3,7700,16594,31361,13380,12460,3197,7137
令和3,2021,移入,Entering,4,金属機械工業品,Metal and machinery products,56328,9224,952,5229,945,5660,662,-,4639,3626,3913,12147,221,1329,5106,2675
令和3,2021,移入,Entering,5,化学工業品,Chemical industrial products,104307,25624,698,4854,2199,11504,1741,-,9005,3473,2715,25825,185,4090,9269,3125
令和3,2021,移入,Entering,6,軽工業品,Light industrial products,11351,1422,368,222,779,920,1452,-,478,301,314,1766,108,219,2574,428
令和3,2021,移入,Entering,7,雑工業品,Miscellaneous industrial products,18992,3395,762,816,289,1171,880,-,618,418,710,2789,130,137,5424,1453
令和3,2021,移入,Entering,8,特殊品,Special goods,76476,13598,7925,621,2183,6655,240,-,3485,3057,2013,21966,1055,1011,10157,2510
令和3,2021,移入,Entering,9,分類不能のもの,Unclassifiable goods,5623,361,34,16,-,3469,115,-,200,90,112,1197,28,1,-,-
,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,,
12-8  品種別出入貨物量 (島しょ港湾) (平成29～令和3年) 12-8  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,
注 1) 品種別出入貨物量には，自動車航送船（フェリー）分は含まない。,,,,,,,,,,,,,,,,,,,,,,
2) 「野伏港」は，令和2年からの調査対象である。,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Cargoes transported by ferry are not included in this table.,,,,,,,,,,,,,,,,,,,,,,
2)  “Nobushi Harbor” was added from 2020.,,,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,,
