年次,Year,月次 ,Month,立会日数 Trading days,上場会社数(年・月末) Number of listed companies (End of y.& m.),時価総額(年・月末)(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数(千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証株価指数平均 (TOPIX) Tokyo stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%),,,,,,,,,,,,,,,
平成29,2017,総数,Total,247,2062,674199186,1985361,142.36,1624.09,2832.75,1.6,,,,,,,,,,,,,,,
平成30,2018,総数,Total,245,2128,562121332,1657428,130.92,1729.58,2643.01,1.61,,,,,,,,,,,,,,,
平成31･令和元,2019,総数,Total,241,2160,648224522,1376597,107.65,1595.12,2178.72,1.98,,,,,,,,,,,,,,,
令和2,2020,総数,Total,243,2186,666862093,1518439,124.25,1597.01,2126.62,2.05,,,,,,,,,,,,,,,
令和3,2021,総数,Total,245,2182,728424514,1370725,114.21,1953.13,2423.43,1.73,,,,,,,,,,,,,,,
令和3,2021,1,Jan.,19,2190,669933134,1459567,9.74,1842.18,2366.55,1.8,,,,,,,,,,,,,,,
令和3,2021,2,Feb.,18,2193,690641075,1568012,9.89,1911.21,2417.3,1.76,,,,,,,,,,,,,,,
令和3,2021,3,Mar.,23,2185,722630442,1633393,13.12,1947.82,2449.74,1.73,,,,,,,,,,,,,,,
令和3,2021,4,Apr.,21,2190,702360781,1212371,8.79,1941.37,2430.28,1.72,,,,,,,,,,,,,,,
令和3,2021,5,May,18,2191,709706826,1467289,9.06,1908.12,2363.41,1.76,,,,,,,,,,,,,,,
令和3,2021,6,June,22,2189,716614442,1194074,9.02,1953.44,2412.56,1.72,,,,,,,,,,,,,,,
令和3,2021,7,July,20,2189,698859078,1134784,7.8,1931.88,2403.23,1.74,,,,,,,,,,,,,,,
令和3,2021,8,Aug.,21,2188,721171864,1150192,8.3,1931.13,2399.18,1.75,,,,,,,,,,,,,,,
令和3,2021,9,Sept.,20,2173,745157566,1500288,10.34,2063.04,2569.85,1.64,,,,,,,,,,,,,,,
令和3,2021,10,Oct.,21,2183,735999429,1497264,10.59,1991.44,2428.4,1.71,,,,,,,,,,,,,,,
令和3,2021,11,Nov.,20,2183,708944923,1476480,9.72,2022.87,2454.53,1.69,,,,,,,,,,,,,,,
令和3,2021,12,Dec.,22,2182,728424514,1197061,8.67,1976.98,2378.88,1.74,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-6  株式取引状況 (1) 第一部 (平成29～令和3年) 15-6  TRANSACTIONS OF STOCK (1) THE 1st SECTION ( 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：(株)東京証券取引所株式部データサービス室 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,
