年次,Year,委員総会 General committee meetings,公益委員会議 Public utilities commission conferences,委員・あっせん員の会合 Meeting of members and mediators／総数 Total,委員・あっせん員の会合 Meeting of members and mediators／調整 Adjustment,委員・あっせん員の会合 Meeting of members and mediators／不当労働行為 Unfair labor practice,委員・あっせん員の会合 Meeting of members and mediators／資格審査 Examination of qualification,取扱新規件数 Number of new cases／総数 Total,取扱新規件数 Number of new cases／調整 Adjustment,取扱新規件数 Number of new cases／不当労働行為 Unfair labor practice,取扱新規件数 Number of new cases／資格審査 Examination of qualification
平成29,2017,25,24,1004,287,717,-,323,73,105,145
平成30,2018,24,24,1073,246,827,-,287,60,97,130
平成31･令和元,2019,25,24,1037,204,833,-,275,48,95,132
令和2,2020,18,19,908,176,732,-,335,56,116,163
令和3,2021,20,20,1202,245,957,-,329,83,99,147
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　7  労働 7  LABOR,,,,,,,,,,,
7-6  東京都労働委員会活動状況 (平成29～令和3年) 7-6  ACTIVITIES OF THE TOKYO LABOR RELATIONS COMMISSION ( 2017-2021 ),,,,,,,,,,,
資料：都労働委員会事務局総務課 Source: Secretariat to Labor Relations Commission， TMG　　　　　,,,,,,,,,,,
