年次,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 GT,内航商船 Coasters／隻数 Number,内航商船 Coasters／総トン数 GT,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／総トン数 GT
平成29,2017,総数,Total,26172,20540350,9824,19878652,16348,661698
平成30,2018,総数,Total,27704,18397023,10470,17874823,17234,522200
平成31･令和元,2019,総数,Total,26997,18850312,10630,17691176,16367,1159136
令和2,2020,総数,Total,25482,21792673,9434,21008044,16048,784629
令和3,2021,総数,Total,25110,21956910,9612,21347380,15498,609530
令和3,2021,元町港,Motomachi Harbor,911,430210,911,430210,-,-
令和3,2021,岡田港,Okada Harbor,1988,3338582,1976,3330861,12,7721
令和3,2021,波浮港,Habu Harbor,475,119867,274,93238,201,26629
令和3,2021,利島港,Toshima Harbor,1252,3058511,1071,2970726,181,87785
令和3,2021,新島港,Niijima Harbor,1338,3282360,1118,3175788,220,106572
令和3,2021,野伏港,Nobushi Harbor,1293,3174524,1290,3173065,3,1459
令和3,2021,式根島港,Shikinejima Harbor,1460,11240,-,-,1460,11240
令和3,2021,神津島港,Kozushima Harbor,3851,1024727,409,861628,3442,163099
令和3,2021,三池港,Miike Harbor,330,1617710,330,1617710,-,-
令和3,2021,御蔵島港,Mikurajima Harbor,513,2533067,513,2533067,-,-
令和3,2021,神湊港,Kaminato Harbor,732,1991243,732,1991243,-,-
令和3,2021,八重根港,Yaene Harbor,45,105773,45,105773,-,-
令和3,2021,青ヶ島港,Aogashima Harbor,213,108043,210,98016,3,10027
令和3,2021,二見港,Futami Harbor,8424,1010655,421,829689,8003,180966
令和3,2021,沖港,Oki Harbor,2285,150398,312,136366,1973,14032
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成29～令和3年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2017-2021 )( Harbors of Islands ),,,,,,,,,
注) 「野伏港」は令和2年からの調査対象である。,,,,,,,,,
Note: “Nobushi Harbor” was added from 2020.,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
