年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets,,,,
平成29,2017,総数,Total,,,,,,3699591,2122891,1576700,3699357,2122891,1576466,,,,
平成30,2018,総数,Total,,,,,,3782755,2172875,1609878,3782572,2172875,1609696,,,,
令和元,2019,総数,Total,,,,,,3789500,2208955,1580545,3789399,2208953,1580446,,,,
令和2,2020,総数,Total,,,,,,2496030,1558916,937113,2495994,1558916,937077,,,,
令和3,2021,総数,Total,,,,,,2613399,1492092,1121307,2613871,1492092,1121779,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,,,,,,1797711,1008066,789645,1798014,1008066,789948,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,,,※,176678,84116,92562,177034,84116,92918,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,渋谷,Shibuya,◎,24044,11691,12353,23939,11691,12248,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,表参道,Omote-Sando,◎,7946,2835,5111,8346,2835,5511,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,外苑前,Gaiemmae,,9336,4349,4987,9825,4349,5476,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,青山一丁目,Aoyama-Itchome,◎,5887,2626,3261,5845,2626,3219,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,赤坂見附,Akasaka-Mitsuke,◎,5764,3053,2711,5678,3053,2625,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,溜池山王,Tameike-Sanno,◎,6107,3120,2987,5735,3120,2615,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,虎ノ門,Toranomon,,12655,7759,4896,12713,7759,4954,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,新橋,Shimbashi,,27136,14052,13084,26570,14052,12518,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,銀座,Ginza,◎,10049,4024,6025,10425,4024,6401,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,京橋,Kyobashi,,7142,3883,3259,7322,3883,3439,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,日本橋,Nihombashi,◎,8125,3327,4798,7672,3327,4345,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,三越前,Mitsukoshimae,◎,8547,3964,4583,8038,3964,4074,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,神田,Kanda,,7392,3201,4191,7193,3201,3992,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,末広町,Suehirocho,,3125,1197,1928,3211,1197,2014,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野広小路,Ueno-Hirokoji,◎,2737,827,1910,2933,827,2106,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,上野,Ueno,◎,13036,6514,6522,13109,6514,6595,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,稲荷町,Inaricho,,2472,1245,1227,2469,1245,1224,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,田原町,Tawaramachi,,3932,1588,2344,4085,1588,2497,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,銀座線,Ginza Line,浅草,Asakusa,,11246,4861,6385,11926,4861,7065,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,,,※,268485,147142,121343,268537,147142,121395,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,池袋,Ikebukuro,◎,35204,20496,14708,34681,20496,14185,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新大塚,Shin-Otsuka,,3837,1894,1943,3798,1894,1904,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,茗荷谷,Myogadani,,10408,6564,3844,10498,6564,3934,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,後楽園,Korakuen,◎,7903,3804,4099,7734,3804,3930,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,本郷三丁目,Hongo-Sanchome,,7147,4195,2952,7227,4195,3032,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,御茶ノ水,Ochanomizu,,7714,4251,3463,7772,4251,3521,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,淡路町,Awajicho,◎,8100,4409,3691,7893,4409,3484,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,大手町,Otemachi,◎,7204,3658,3546,6960,3658,3302,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,東京,Tokyo,,23346,12593,10753,24482,12593,11889,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,銀座,Ginza,◎,10379,4424,5955,10529,4424,6105,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,霞ケ関,Kasumigaseki,◎,9251,7055,2196,9149,7055,2094,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,国会議事堂前,Kokkai-Gijidomae,◎,3070,1650,1420,2982,1650,1332,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,赤坂見附,Akasaka-Mitsuke,◎,6466,3451,3015,6301,3451,2850,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,四ツ谷,Yotsuya,◎,9951,5761,4190,9427,5761,3666,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,四谷三丁目,Yotsuya-Sanchome,,6230,2883,3347,6291,2883,3408,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新宿御苑前,Shinjuku-Gyoemmae,,6702,3564,3138,7194,3564,3630,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新宿三丁目,Shinjuku-Sanchome,◎,10188,2387,7801,10171,2387,7784,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新宿,Shinjuku,,29171,16196,12975,29514,16196,13318,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,西新宿,Nishi-Shinjuku ,,11013,6239,4774,11523,6239,5284,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,中野坂上,Nakano-Sakaue,◎,10983,6227,4756,10764,6227,4537,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新中野,Shin-Nakano,,5170,2787,2383,5161,2787,2374,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,東高円寺,Higashi-Koenji,,4942,2758,2184,4822,2758,2064,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,新高円寺,Shin-Koenji,,5328,2945,2383,5251,2945,2306,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,南阿佐ケ谷,Minami-Asagaya,,4150,2132,2018,4057,2132,1925,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,荻窪,Ogikubo,,12791,7864,4927,12694,7864,4830,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,中野新橋,Nakano-Shimbashi,,3090,1697,1393,3038,1697,1341,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,中野富士見町,Nakano-Fujimicho,,2874,1756,1118,2816,1756,1060,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,丸ノ内線,Marunouchi Line,方南町,Honancho,,5873,3502,2371,5808,3502,2306,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,,,※,245275,133213,112062,247746,133213,114533,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,北千住,Kita-Senju,◎,41733,27992,13741,41261,27992,13269,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,南千住,Minami-Senju,,4523,2398,2125,4635,2398,2237,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,三ノ輪,Minowa,,6352,3381,2971,6343,3381,2962,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,入谷,Iriya,,5215,2631,2584,5072,2631,2441,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,上野,Ueno,◎,11526,5950,5576,11942,5950,5992,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,仲御徒町,Naka-Okachimachi,◎,5849,2959,2890,5986,2959,3027,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,秋葉原,Akihabara,,15595,8697,6898,15822,8697,7125,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,小伝馬町,Kodemmacho,,5600,3341,2259,5567,3341,2226,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,人形町,Ningyocho,◎,10241,6156,4085,10300,6156,4144,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,茅場町,Kayabacho,◎,5978,3394,2584,5814,3394,2420,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,八丁堀,Hatchobori,,14157,8348,5809,14071,8348,5723,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,築地,Tsukiji,◎,8335,4584,3751,8550,4584,3966,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,東銀座,Higashi-Ginza,,10756,5812,4944,10884,5812,5072,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,銀座,Ginza,◎,8215,3700,4515,8370,3700,4670,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,日比谷,Hibiya,◎,6862,2921,3941,6792,2921,3871,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,霞ケ関,Kasumigaseki,◎,3866,2732,1134,3833,2732,1101,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,虎ノ門ヒルズ,Toranomon-Hills,,4833,2180,2653,5307,2180,3127,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,神谷町,Kamiyacho,,10861,6219,4642,10950,6219,4731,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,六本木,Roppongi,,14180,5810,8370,14543,5810,8733,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,広尾,Hiro-O,,8710,4534,4176,8615,4534,4081,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,恵比寿,Ebisu,,13769,5964,7805,14126,5964,8162,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,日比谷線,Hibiya Line,中目黒,Naka-Meguro,,28119,13510,14609,28963,13510,15453,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,,,※,219265,129385,89880,218588,129385,89203,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,中野,Nakano,,20765,12656,8109,20513,12656,7857,,,,
令和3,2021,東京地下鉄株式会社,Tokyo Metro Co.， Ltd.,東西線,Tozai Line,落合,Ochiai,,3811,1961,1850,3711,1961,1750,,,,
