年次,Year,海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity
令和2,2020,総数,Total,総数,Total,,,2755405
令和2,2020,総数,Total,魚類,Fish,総数,Total,2374348
令和2,2020,総数,Total,魚類,Fish,きんめだい,Alfonsino,1133626
令和2,2020,総数,Total,魚類,Fish,かじき類,Swordfish,292075
令和2,2020,総数,Total,魚類,Fish,まぐろ類,Tuna,291141
令和2,2020,総数,Total,その他の水産動物,Other marine animals,総数,Total,142205
令和2,2020,総数,Total,その他の水産動物,Other marine animals,いか,Squid,118609
令和2,2020,総数,Total,その他の水産動物,Other marine animals,かめ,Sea turtle,11851
令和2,2020,総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,10917
令和2,2020,総数,Total,貝類,Shellfish,総数,Total,66323
令和2,2020,総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,45535
令和2,2020,総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,4601
令和2,2020,総数,Total,貝類,Shellfish,さざえ,Top shell,821
令和2,2020,総数,Total,藻類,Seaweed,総数,Total,172529
令和2,2020,総数,Total,藻類,Seaweed,てんぐさ,Tengusa,139937
令和2,2020,総数,Total,藻類,Seaweed,とさかのり,Comb paste,31341
令和2,2020,総数,Total,藻類,Seaweed,いわのり,Spontaneous purple,14
令和2,2020,東京湾海区,Tokyo bay area,総数,Total,,,229801
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,170025
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,106406
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,21398
令和2,2020,東京湾海区,Tokyo bay area,魚類,Fish,このしろ,Konosirus,6845
令和2,2020,東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,89
令和2,2020,東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,59497
令和2,2020,東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,45535
令和2,2020,東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,190
令和2,2020,大島海区,Oshima sea area,総数,Total,,,1102726
令和2,2020,大島海区,Oshima sea area,魚類,Fish,総数,Total,837817
令和2,2020,大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,608926
令和2,2020,大島海区,Oshima sea area,魚類,Fish,まぐろ類,Tuna,57379
令和2,2020,大島海区,Oshima sea area,魚類,Fish,めだい,Doderlein,48222
令和2,2020,大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,87861
令和2,2020,大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか,Squid,78066
令和2,2020,大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,9724
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,総数,Total,6567
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,4566
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,821
令和2,2020,大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,688
令和2,2020,大島海区,Oshima sea area,藻類,Seaweed,総数,Total,170481
令和2,2020,大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,138587
令和2,2020,大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,31341
令和2,2020,三宅海区,Miyake sea area,総数,Total,,,237356
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,総数,Total,232360
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,97079
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,80809
令和2,2020,三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,17875
令和2,2020,三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,2888
令和2,2020,三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか,Squid,1870
令和2,2020,三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,883
令和2,2020,三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,258
令和2,2020,三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,34
令和2,2020,三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,1850
令和2,2020,三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,1350
令和2,2020,三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,14
令和2,2020,八丈海区,Hachijo sea area,総数,Total,,,694272
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,総数,Total,693724
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,427621
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,まぐろ類,Tuna,94130
令和2,2020,八丈海区,Hachijo sea area,魚類,Fish,めだい,Doderlein,31936
令和2,2020,八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,539
令和2,2020,八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,184
令和2,2020,八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,その他のえび類,Other shrimps and prawns,11
令和2,2020,八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,1
令和2,2020,八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,1
令和2,2020,八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,8
令和2,2020,小笠原海区,Ogasawara sea area,総数,Total,,,491250
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,総数,Total,440422
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,かじき類,Swordfish,279491
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,まぐろ類,Tuna,58823
令和2,2020,小笠原海区,Ogasawara sea area,魚類,Fish,はまだい,Ruby snapper,57370
令和2,2020,小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,総数,Total,50828
令和2,2020,小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いか,Squid,38673
