年度,Fiscal year,許可，業種1，組織及び資本金階層,Licensor， Contractor classification 1， organization and size of capital,業種2 等,Contractor classification 2 etc，,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成28,2016,総数,Total,総数,Total,19509,21645108,16631260,2037028,12306367,2287863,5013848,2815448,1522425,675975,7943345,1973324,4965187,1004834
平成29,2017,総数,Total,総数,Total,19125,22241032,17078547,2110811,12947932,2019805,5162485,3040106,1455338,667041,7958430,1928315,5106498,923617
平成30,2018,総数,Total,総数,Total,18026,23811872,18821388,2303481,14435248,2082659,4990484,2955934,1492512,542038,8357726,2129566,5251709,976452
令和元,2019,総数,Total,総数,Total,18171,23547286,18336191,2329203,13961289,2045699,5211094,3020555,1573782,616758,8539081,2160344,5459812,918925
令和2,2020,総数,Total,総数,Total,28779,25374890,19679728,2625216,14111617,2942895,5695162,3339840,1596289,759033,11214528,2814522,7241793,1158212
令和2,2020,許可業者,Licensed contractors,総数,Total,28779,25374890,19679728,2625216,14111617,2942895,5695162,3339840,1596289,759033,11214528,2814522,7241793,1158212
令和2,2020,許可業者,Licensed contractors,大臣許可,Licensed by minister,2291,22449263,17445359,2365208,12591156,2488996,5003905,2979102,1313065,711738,7384998,1925022,4613256,846720
令和2,2020,許可業者,Licensed contractors,知事許可,Licensed by governor,26488,2925627,2234369,260008,1520463,453899,691258,360738,283224,47296,3829529,889500,2628537,311492
令和2,2020,総合工事業,General construction work,総数,Total,9339,17368716,13276658,1606817,11147799,522042,4092058,3103055,883989,105014,3532088,1818988,1577418,135682
令和2,2020,総合工事業,General construction work,一般土木建築工事業,General civil engineering work and building work,173,9285078,6665009,1079512,5573678,11818,2620069,2013092,603625,3352,453525,207026,244239,2261
令和2,2020,総合工事業,General construction work,土木工事業,Civil engineering work,1495,946514,410292,315370,51255,43667,536221,529385,5350,1486,877697,844933,27824,4941
令和2,2020,総合工事業,General construction work,造園工事業,Gardening work,321,31787,13448,12743,690,16,18339,18314,1,25,57861,56994,836,31
令和2,2020,総合工事業,General construction work,水道施設工事業,Plumbing work,232,176699,46604,3039,868,42697,130095,73992,980,55123,77794,58837,795,18163
令和2,2020,総合工事業,General construction work,舗装工事業,Paving work,577,422795,86796,69471,7665,9660,336000,335894,31,75,508594,506139,1934,520
令和2,2020,総合工事業,General construction work,しゅんせつ工事業,Dredging work,15,2305,167,167,-,-,2137,2138,-,-,29699,29677,-,22
令和2,2020,総合工事業,General construction work,建築工事業,Building work (except wooden buildings),5077,5312847,4864841,126418,4326124,412300,448005,130227,272827,44951,1359035,113979,1161095,83961
令和2,2020,総合工事業,General construction work,木造建築工事業,Building work (wooden buildings),1448,1190691,1189501,95,1187521,1883,1191,14,1174,2,167883,1404,140696,25783
令和2,2020,職別工事業,Construction work by specialist contractor ,総数,Total,10824,1269717,989554,109838,855332,24384,280163,76554,198300,5308,3625316,709130,2840526,75659
令和2,2020,設備工事業,Equipment installation work,総数,Total,8616,6736457,5413516,908561,2108485,2396469,1322941,160231,513998,648711,4057124,286404,2823848,946872
令和2,2020,（再掲）建設業専業会社／組織,(Relisted) Companies exclusively engaged in construction／Organization ,総数,Total,22938,17447195,13179352,1986883,10568860,623609,4267844,3026795,1186364,54685,8153338,2214167,5433259,505912
令和2,2020,（再掲）建設業専業会社／組織,(Relisted) Companies exclusively engaged in construction／Organization ,個人,Sole proprietorship,1538,13077,8867,252,8601,14,4210,50,4161,-,12563,612,11928,23
