区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,39234,14969,9008,8872,6385
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,25125,11500,4335,8843,447
2,政策企画局,Office of the Governor for Policy Planning,228,221,7,-,-
2,総務局,Bureau of General Affairs,2501,2293,178,-,30
2,財務局,Bureau of Finance,446,265,174,-,7
2,デジタルサービス局,Bureau of Digital Services,180,144,36,-,-
2,主税局,Bureau of Taxation,2869,2868,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural Affairs                              ,416,356,59,-,1
2,オリンピック・パラリンピック準備局,Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation,375,297,78,-,-
2,都市整備局,Bureau of Urban Development          ,810,277,533,-,-
2,環境局,Bureau of Environment,482,248,229,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4499,1588,468,2395,48
2,産業労働局,Bureau of Industrial and Labor Affairs ,1291,771,480,10,30
2,建設局,Bureau of Construction,2412,879,1502,-,31
2,港湾局,Bureau of Port and Harbor,606,259,308,-,39
2,会計管理局,Bureau of Accounting,106,106,-,-,-
2,都民安全推進本部,Office for Promotion of Citizen Safety,37,36,1,-,-
2,住宅政策本部,Office for Housing Policy,392,211,181,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6854,405,6,6438,5
2,中央卸売市場,Central Wholesale Market,561,218,92,-,251
2,収用委員会,Secretariat to Expropriation Commission,22,20,2,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
1,公営企業体,Public Enterprises,13068,2552,4613,5,5898
2,交通局,Bureau of Transportation,6764,621,593,5,5545
2,水道局,Bureau of Waterworks,3783,1456,2060,-,267
2,下水道局,Bureau of Sewerage,2521,475,1960,-,86
1,行政委員会事務局,Executive Offices of Administrative Commission ,893,791,60,24,18
2,教育委員会,Board of Education ,712,636,34,24,18
2,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,62,55,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (令和3年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2021 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
