年次,Year,階層コード,地域コード,地域,District,総数 Total,中国 China,韓国 Rep. of Korea,ベトナム Viet Nam,フィリピン Philippines ,ネパール Nepal,台湾 Taiwan,アメリカ U.S.A.,イ ン ド India,ミャンマー Myanmar,タイ Thailand,その他 Others
平成30,2018,0,13000,東京都,Tokyo-to,521500,199949,90438,32334,32089,26157,18568,17578,11153,9719,7958,75557
平成31,2019,0,13000,東京都,Tokyo-to,551683,213767,92418,36227,33219,27290,19726,18508,12130,10395,8101,79902
令和2,2020,0,13000,東京都,Tokyo-to,577329,231196,93595,38227,33818,26150,20998,19129,13689,10056,8071,82400
令和3,2021,0,13000,東京都,Tokyo-to,546436,219636,87590,36636,33214,24572,18675,18173,13378,9345,7666,77551
令和4,2022,0,13000,東京都,Tokyo-to,517881,203348,83171,34388,32523,24482,17297,17223,13049,10883,7373,74144
令和4,2022,1,13100,区部,All ku,430444,173187,70421,26360,24025,20780,14900,13970,12075,10090,5960,58676
令和4,2022,3,13101,千代田区,Chiyoda-ku,2814,1309,431,78,57,27,169,167,59,9,37,471
令和4,2022,3,13102,中央区,Chuo-ku,8062,3682,1410,201,133,94,426,424,228,46,91,1327
令和4,2022,3,13103,港区,Minato-ku,16929,3871,3039,157,933,83,651,2384,440,60,156,5155
令和4,2022,3,13104,新宿区,Shinjuku-ku,33907,11468,8654,2198,663,2320,1472,826,210,1734,593,3769
令和4,2022,3,13105,文京区,Bunkyo-ku,9746,4792,1472,526,192,230,465,302,82,292,166,1227
令和4,2022,3,13106,台東区,Taito-ku,13896,6128,2769,749,712,360,441,290,675,125,329,1318
令和4,2022,3,13107,墨田区,Sumida-ku,11892,5538,1806,533,1241,277,442,201,115,108,370,1261
令和4,2022,3,13108,江東区,Koto-ku,29275,14584,4319,993,1564,637,668,493,2484,455,350,2728
令和4,2022,3,13109,品川区,Shinagawa-ku,12538,4389,2258,475,761,679,662,556,262,256,168,2072
令和4,2022,3,13110,目黒区,Meguro-ku,8794,1849,1398,202,512,224,478,963,161,46,150,2811
令和4,2022,3,13111,大田区,Ota-ku,23102,7889,3137,1867,2495,2195,913,598,275,315,415,3003
令和4,2022,3,13112,世田谷区,Setagaya-ku,21028,5793,3956,851,889,476,1000,1764,540,183,252,5324
令和4,2022,3,13113,渋谷区,Shibuya-ku,9779,1934,1577,220,285,178,527,1302,209,38,120,3389
令和4,2022,3,13114,中野区,Nakano-ku,15759,5539,2503,1438,529,1735,734,478,93,429,221,2060
令和4,2022,3,13115,杉並区,Suginami-ku,15203,4964,2279,1263,486,1928,729,700,100,211,200,2343
令和4,2022,3,13116,豊島区,Toshima-ku,24200,10972,2072,2462,483,2163,934,407,147,2126,243,2191
令和4,2022,3,13117,北区,Kita-ku,21470,10510,2246,1767,805,1141,563,250,181,1151,191,2665
令和4,2022,3,13118,荒川区,Arakawa-ku,17570,7083,4448,1562,532,1109,367,171,109,609,153,1427
