年次および種類,Year and kind,月次 ,Month,第3次産業総合 Tertiary industry,第3次産業総合 Tertiary industry／電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,第3次産業総合 Tertiary industry／情報通信業 Information and communications,第3次産業総合 Tertiary industry／運輸業，郵便業 Transport and postal activities,第3次産業総合 Tertiary industry／卸売業 Wholesale trade,第3次産業総合 Tertiary industry／金融業，保険業 Finance and insurance,第3次産業総合 Tertiary industry／物品賃貸業 (自動車賃貸業を含む) Goods rental and leasing (include automobile rental and leasing),第3次産業総合 Tertiary industry／事業者向け関連サービス Business-related services,第3次産業総合 Tertiary industry／小売業 Retail trade,第3次産業総合 Tertiary industry／不動産業 Real estate,第3次産業総合 Tertiary industry／医療，福祉 Medical， health care and welfare,第3次産業総合 Tertiary industry／生活娯楽関連サービス Living and amusement-related services
ウェイト ,Weight,,,10000,129.2,1660.8,555.5,1779.9,1092.1,342.9,1586.4,634.4,850.1,589.6,779.1
平成29,2017,平均,Average,102.6,101.4,102,104.1,101.3,100.6,104.5,106.1,100.6,101,105.6,101.2
平成30,2018,平均,Average,104,101.9,102.9,104.7,103.8,104.3,106.2,107.1,101.5,100.9,107.4,102
平成31･令和元,2019,平均,Average,104.9,100.6,104.2,104.7,102.3,104.3,107.3,108.8,101.8,101.3,112.3,105.9
令和2,2020,平均,Average,98.5,98.1,102.2,85,91.4,108.1,105.4,106.1,93.3,101,109.1,77.4
令和3,2021,平均,Average,100.3,98.5,104.6,83.4,92.8,115.1,104.1,107.1,93.9,102.2,117,75.1
令和3,2021,1,Jan.,99.5,103,103.9,81.4,97.2,113.9,104.1,103.3,90.9,104.7,114,67.7
令和3,2021,2,Feb.,100,98.7,100.5,82.2,94.1,109.9,103.5,104.8,96,104.5,114.2,87.2
令和3,2021,3,Mar.,100.4,98.9,100.8,80.2,93.8,116.6,105.6,106,93.3,103.1,113.9,85.5
令和3,2021,4,Apr.,101.6,96.8,108.9,84.2,94.7,116.5,105.3,106.6,92.2,104.6,116.9,74.7
令和3,2021,5,May,98.9,96.1,106.6,83.3,91.3,113.8,104.1,107.3,87,104.5,116.2,61.6
令和3,2021,6,June,99.6,97.6,105.1,82.7,92.6,113.4,105.6,108.9,94.5,100.3,116.7,65.7
令和3,2021,7,July,100.1,99.5,104.9,82.8,93.6,112.9,105.1,110.2,91.7,98.1,117.5,72.2
令和3,2021,8,Aug.,98.9,96.8,104.1,78.6,90.9,114,104.1,110.6,93.5,100.5,119.8,60.4
令和3,2021,9,Sept.,99.5,94.4,102.4,80.4,91,116.6,104.1,109.2,98.2,97.8,119.2,69.8
令和3,2021,10,Oct.,102,98.5,108,86.7,91,118.9,103.3,106.8,97.6,101,119.1,83.5
令和3,2021,11,Nov.,102.3,100.5,106.3,87.5,92.7,117.4,101.9,106.2,96.8,106.4,119.8,84.8
令和3,2021,12,Dec.,102.3,100.5,107.6,91,91.9,117.2,102.5,106.4,95.9,101.5,117.9,88.6
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-4  第３次産業活動指数 (平成29～令和3年) 12-4  INDICES OF TERTIARY INDUSTRY ACTIVITY ( 2017-2021 ),,,,,,,,,,,,,,,
各年12月現在,,,,,,,,,,,,,,,
(1) ウェイト………平成27年の粗付加価値額,,,,,,,,,,,,,,,
(2) 算式………固定ウェイトによる加重算術平均式 ,,,,,,,,,,,,,,,
(1) Weight  ……… Gross value added in 2015,,,,,,,,,,,,,,,
(2) Formula……… A weighted arithmetic mean formula based on weights fixed in the base period,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済指数である。 ,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の平均値である。 ,,,,,,,,,,,,,,,
3) 指数値は，最新のデータ入手に伴い遡及して変更されることがある。 ,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted indices.,,,,,,,,,,,,,,,
2) Yearly figures are the averages of original monthly indices.,,,,,,,,,,,,,,,
3) Indices may be retroactively revised  to reflect the latest available data.,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「東京都第３次産業活動指数」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
（平成 27年平均＝100） ( 2015  Average=100 ),,,,,,,,,,,,,,,
