年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成29,2017,総数,Total,185.1,172,20581105,12981596,7599509
平成30,2018,総数,Total,185.1,172,21040031,13268508,7771523
令和元,2019,総数,Total,185,172,21149916,13447371,7702545
令和2,2020,総数,Total,185,173,14121359,9333841,4787518
令和3,2021,総数,Total,185,173,14751533,8954495,5797038
令和3,2021,銀座線,Ginza Line,14.2,19,897758,446285,451473
令和3,2021,丸ノ内線,Marunouchi Line,27.4,28,1766687,1018400,748287
令和3,2021,日比谷線,Hibiya Line,20.3,22,1677283,963444,713839
令和3,2021,東西線,Tozai Line,22.2,17,2577471,1655207,922264
令和3,2021,千代田線,Chiyoda Line,24,20,2473543,1614608,858935
令和3,2021,有楽町線,Yurakucho Line,26.9,23,2118411,1342445,775966
令和3,2021,半蔵門線,Hanzomon Line,16.8,14,1390191,769862,620329
令和3,2021,南北線 ,Namboku Line,21.3,19,904525,571705,332820
令和3,2021,副都心線,Fukutoshin Line,11.9,11,945664,572539,373125
,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成29～令和3年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2017-2021 ),,,,,,,,
資料：東京地下鉄株式会社鉄道本部営業部審査課 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
