年次及び種類,Year(Av.) and kind,区分,Classification,総平均 All commodities,繊維品 Textiles,化学製品 Chemicals and related products,金属・同製品 Metals and related products,はん用･生産用･業務用機器 General purpose， production and business oriented machinery,電気・電子機器 Electric and electronic products,輸送用機器 Transportation equipment,飲食料品･食料用農水産物 Beverages and foods and agriculture products for food,木材・木製品・林産物 Lumber and wood products and forest products,石油･石炭･天然ガス Petroleum， coal and natural gas,その他産品・製品 Other primary products and manufactured goods,,,,,,,,,,,,,,,,,,,,,,,,,
品目数,Number of commodities,,,210,17,20,28,13,46,7,32,6,11,30,,,,,,,,,,,,,,,,,,,,,,,,,
ウエイト,Weight,,,1000,58.6,108.4,101.6,75.9,206.7,51.2,85.1,16.6,213.6,82.3,,,,,,,,,,,,,,,,,,,,,,,,,
平成29,2017,円ベース指数,Index on Yen basis,109.5,102.6,114,96.6,98.7,115.4,100.6,103.7,103,123,103.2,,,,,,,,,,,,,,,,,,,,,,,,,
平成30,2018,円ベース指数,Index on Yen basis,117.8,102.5,120.5,101,102.3,113.2,100.7,104.2,111.4,154.1,104.2,,,,,,,,,,,,,,,,,,,,,,,,,
平成31･令和元,2019,円ベース指数,Index on Yen basis,111.5,101.2,111.2,98.3,102,106.3,100.1,101.4,106.4,139.8,102.6,,,,,,,,,,,,,,,,,,,,,,,,,
令和2,2020,円ベース指数,Index on Yen basis,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,円ベース指数,Index on Yen basis,121.5,103,108.6,145.5,103.6,105.5,104,117.5,136.8,152.8,109.9,,,,,,,,,,,,,,,,,,,,,,,,,
平成29,2017,契約通貨ベース指数,Index on Contract currency basis,105.8,100.7,111.5,92.5,95.8,111.7,97.6,100.1,98.5,117.4,99.9,,,,,,,,,,,,,,,,,,,,,,,,,
平成30,2018,契約通貨ベース指数,Index on Contract currency basis,115,101.1,118.9,97.8,100,110.7,97.9,101.4,107.4,149.3,101.8,,,,,,,,,,,,,,,,,,,,,,,,,
平成31･令和元,2019,契約通貨ベース指数,Index on Contract currency basis,110.2,100.5,110.7,96.4,100.8,104.9,99.1,100.1,104.7,137.2,101.3,,,,,,,,,,,,,,,,,,,,,,,,,
令和2,2020,契約通貨ベース指数,Index on Contract currency basis,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
令和3,2021,契約通貨ベース指数,Index on Contract currency basis,118.7,101.6,107,141.3,101.7,103.2,102.3,114.6,131.5,148.5,107.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-2  企業物価指数  （ 全国 ） (3)  輸入物価指数 （平成29～令和3年） 13-2 CORPORATE GOODS PRICE INDEX （ JAPAN ） (3) IMPORT PRICE INDEX （ 2017-2021 ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
企業物価指数は，企業間で取引される商品の価格に焦点を当てた物価指数である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Corporate Goods Price Index (CGPI) is a price index that focuses on the prices of goods traded among companies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：日本銀行 「企業物価指数」 Source: The Bank of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（令和2年平均＝100） (2020 Average＝100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
