項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,3969,16753,3247,2404
1,たばこ,Cigarettes,586,1901,373,386
2,こんろ,Gas table,519,724,524,431
3,かまど,Kitchen stove,8,-,6,-
4,風呂かまど,Bathtub water heater ,4,5,5,4
5,炉,Furnace,18,5,17,-
6,焼却炉,Incinerator,5,216,1,-
7,ストーブ,Space heater ,77,1678,132,195
8,こたつ,Kotatsu， a Japanese table with a heating device,6,32,7,7
9,ボイラー,Hot water boiler,5,-,5,4
10,煙突・煙道,Chimney and flue,2,-,1,-
11,排気管,Exhaust pipe,31,-,4,-
12,電気機器,Electric machinery and appliances,513,1675,483,266
13,電気装置,Electric equipment,105,143,76,8
14,電灯電話配線,Lighting and telephone wiring,152,771,108,58
15,内燃機関,Internal-combustion engine,8,-,1,1
16,配線器具,Wiring devices ,318,622,312,174
17,火遊び,Playing with matches/lighters,26,-,6,6
18,マッチ・ライター,Matches and lighters,41,222,29,30
19,たき火,Bonfire,35,1141,38,19
20,切断機・溶接機,Welding and cutting machines,31,9,13,4
21,灯火,Lighting,43,359,44,54
22,衝突の火花,Sparks caused by collision,-,-,-,-
23,取灰,Ash,6,2,3,-
24,火入れ,Kindling,1,-,-,-
25,放火,Arson,545,1374,244,145
26,放火の疑い,Suspected arson,46,13,18,8
27,交通機関内配線,Wiring installed in transportation facilities ,35,111,7,-
28,その他,Others　,562,1406,488,302
29,不明・調査中,Unknown and currently under investigation,241,4344,302,302
,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （令和3年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2021 ),,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,
