地域階層,地域コード,地域,District,除却 Removed／建築物数 Number,除却 Removed／床面積の合計 Total floor space,除却 Removed／建築物評価額 Estimated value,災害 Damaged by disasters／建築物数 Number,災 害Damaged by disasters／床面積の合計 Total floor space,災害 Damaged by disasters／建築物損害見積額 Estimated damages
0,13000,総数,Tokyo-to,6795,2552208,10200371,164,7391,68340
1,13100,区部,All ku,5288,2257044,9589943,109,4606,40618
2,13101,千代田区,Chiyoda-ku,60,106760,704166,1,20,375
2,13102,中央区,Chuo-ku,207,134539,1124767,-,-,-
2,13103,港区,Minato-ku,347,793614,4291693,-,-,-
2,13104,新宿区,Shinjuku-ku,148,84920,489818,2,124,1336
2,13105,文京区,Bunkyo-ku,97,26760,75423,2,42,488
2,13106,台東区,Taito-ku,76,22634,17926,2,29,649
2,13107,墨田区,Sumida-ku,108,21964,26677,2,44,44
2,13108,江東区,Koto-ku,819,159029,747561,27,792,2376
2,13109,品川区,Shinagawa-ku,419,93052,481461,10,591,2574
2,13110,目黒区,Meguro-ku,181,54988,149300,3,187,9639
2,13111,大田区,Ota-ku,238,68692,206488,12,602,4800
2,13112,世田谷区,Setagaya-ku,520,169665,571341,1,36,252
2,13113,渋谷区,Shibuya-ku,240,68881,76913,2,35,53
2,13114,中野区,Nakano-ku,168,28238,36272,2,42,669
2,13115,杉並区,Suginami-ku,286,39350,43456,4,70,210
2,13116,豊島区,Toshima-ku,149,29627,26961,-,-,-
2,13117,北区,Kita-ku,141,20832,21711,1,20,230
2,13118,荒川区,Arakawa-ku,49,15727,5226,2,150,700
2,13119,板橋区,Itabashi-ku,230,147189,137697,10,525,3851
2,13120,練馬区,Nerima-ku,296,52185,113555,6,288,3990
2,13121,足立区,Adachi-ku,196,57179,135064,14,671,5807
2,13122,葛飾区,Katsushika-ku,134,33856,84757,1,20,300
2,13123,江戸川区,Edogawa-ku,179,27363,21710,5,318,2275
1,13200,市部,All shi,1449,282866,580138,55,2785,27722
2,13201,八王子市,Hachioji-shi,160,38328,50110,21,1186,16174
2,13202,立川市,Tachikawa-shi,87,16211,40790,2,78,312
2,13203,武蔵野市,Musashino-shi,83,20005,135495,3,113,934
2,13204,三鷹市,Mitaka-shi,59,15949,10357,2,62,1435
2,13205,青梅市,Ome-shi,39,8874,54079,-,-,-
2,13206,府中市,Fuchu-shi,128,19689,120437,1,20,58
2,13207,昭島市,Akishima-shi,40,12301,4834,1,33,21
2,13208,調布市,Chofu-shi,171,22723,23339,5,162,186
2,13209,町田市,Machida-shi,127,25968,13077,14,745,7450
2,13210,小金井市,Koganei-shi,55,14451,10894,-,-,-
2,13211,小平市,Kodaira-shi,55,8315,8115,-,-,-
2,13212,日野市,Hino-shi,57,6640,7431,-,-,-
2,13213,東村山市,Higashimurayama-shi,31,3647,2964,-,-,-
2,13214,国分寺市,Kokubunji-shi,48,5524,6100,-,-,-
2,13215,国立市,Kunitachi-shi,30,4258,6095,-,-,-
2,13218,福生市,Fussa-shi,15,1309,1295,-,-,-
2,13219,狛江市,Komae-shi,22,2081,3254,-,-,-
2,13220,東大和市,Higashiyamato-shi,12,1249,494,-,-,-
2,13221,清瀬市,Kiyose-shi,22,4239,15402,-,-,-
2,13222,東久留米市,Higashikurume-shi,35,5416,21368,-,-,-
2,13223,武蔵村山市,Musashimurayama-shi,23,21707,1088,-,-,-
2,13224,多摩市,Tama-shi,16,2125,18655,-,-,-
2,13225,稲城市,Inagi-shi,7,1850,8349,1,55,140
2,13227,羽村市,Hamura-shi,10,814,1365,2,79,737
2,13228,あきる野市,Akiruno-shi,29,2328,2014,-,-,-
2,13229,西東京市,Nishitokyo-shi,88,16865,12737,3,252,275
1,13300,郡部，島部,All gun and islands,58,12298,30290,-,-,-
,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,
3-13  地域別滅失建築物（令和3年） 3-13  DESTROYED BUILDINGS BY DISTRICT ( 2021 ),,,,,,,,,
この表は建築基準法により， 工事施工者から知事に届出のあった建築物除去届及び市町村長からの建築物災害報告によって作成されたもので，対象は床面積の合計が10平方メートルを越える建築物である。,,,,,,,,,
This table is based on notifications of building removal submitted to the Governor by contractors， and reports on buildings damaged by disasters submitted by the heads of shi， machi， and mura， and covers buildings with total floor space of  more than 10 square meters.  ,,,,,,,,,
資料：都都市整備局市街地建築部建築企画課 Source: Bureau of Urban Development， TMG,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部及び島部　 2:区市）,,,,,,,,,
（単位　面積　平方メートル， 金額　万円）(Space in m2， Value in 10 thousand of yen),,,,,,,,,
