年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,自動車税環境性能割交付金 Motor vehicle tax (environmental excite),地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成29,2017,13100,,区部,All ku,3804572,1055051,14477,3983,32983,236248,38,7738,…,4682,976299,926,39556,89434,16436,659211,267741,32392,3968,140840,106906,70392,45271
平成30,2018,13100,,区部,All ku,3884864,1086373,14579,4276,25922,201544,38,8121,…,5379,1068163,868,43717,89554,16768,642270,278972,14990,3639,147959,122864,68032,40839
令和元,2019,13100,,区部,All ku,4071061,1125176,14801,3250,26197,192900,34,4084,1443,23665,1099226,864,41171,90158,16761,699868,312275,23358,4831,148970,122908,75573,43548
令和2,2020,13100,,区部,All ku,5191559,1139992,14297,3127,32860,232489,28,1,2467,7086,987396,976,31242,78604,16149,1738901,388518,38701,5019,198157,133451,78144,63952
令和3,2021,13100,,区部,All ku,4713565,1150488,15097,2945,47200,254573,36,0,3167,6693,1091571,959,34769,80345,15827,1134808,368463,22285,5208,184304,174044,77743,43042
令和3,2021,13101,1,千代田区,Chiyoda-ku,65665,20726,311,49,786,9888,-,0,70,34,8284,20,786,5622,501,6200,3917,299,228,3501,2821,1622,-
令和3,2021,13102,2,中央区,Chuo-ku,132631,33513,393,80,1298,9312,-,0,89,130,22489,27,713,6483,784,22322,9865,1656,141,5632,3718,2869,11115
令和3,2021,13103,3,港区,Minato-ku,193829,86664,455,218,3501,13358,-,0,102,79,2765,41,1017,8563,526,30976,12241,2678,632,19898,7684,2429,-
令和3,2021,13104,4,新宿区,Shinjuku-ku,173063,50506,508,126,2027,12489,-,0,112,123,30790,34,1677,3790,860,46658,13948,1581,230,118,3520,3179,786
令和3,2021,13105,5,文京区,Bunkyo-ku,134394,36512,286,96,1541,6372,-,0,62,75,26060,18,1233,1680,438,25805,9781,249,163,9987,10776,1997,1263
令和3,2021,13106,6,台東区,Taito-ku,125054,23895,344,56,897,6074,-,0,77,120,31184,26,721,2171,632,31175,9860,354,192,4755,7932,3250,1342
令和3,2021,13107,7,墨田区,Sumida-ku,144319,26849,378,66,1061,6688,-,0,84,207,43338,24,1237,2153,511,34289,9900,1952,1089,5670,5051,1823,1948
令和3,2021,13108,8,江東区,Koto-ku,234470,56217,717,142,2272,13211,18,0,159,452,61518,44,3015,2367,760,60758,18453,334,95,2817,7042,2689,1392
令和3,2021,13109,9,品川区,Shinagawa-ku,193464,53898,566,134,2161,11335,-,0,124,285,45972,35,1938,4069,662,40838,16093,920,86,3501,3662,5641,1544
令和3,2021,13110,10,目黒区,Meguro-ku,130994,47593,387,127,2038,6774,-,0,85,106,18262,25,1411,1848,480,25272,10904,966,379,4450,8830,1058,-
令和3,2021,13111,11,大田区,Ota-ku,309879,78355,1828,205,3275,17605,-,0,234,536,72855,70,2727,6238,1058,81200,25513,1226,84,2730,3935,9177,1027
令和3,2021,13112,12,世田谷区,Setagaya-ku,377662,128773,1295,345,5525,20660,-,0,285,492,59960,90,1966,4973,1347,84707,34789,1258,162,397,17453,11185,2000
令和3,2021,13113,13,渋谷区,Shibuya-ku,128300,57915,419,144,2325,8760,-,0,93,83,5675,26,820,3809,691,24120,8665,2715,514,1700,8344,1481,-
令和3,2021,13114,14,中野区,Nakano-ku,160825,36084,444,94,1501,7709,-,0,97,185,41022,30,902,1360,562,40483,13843,244,94,7920,5693,1461,1098
令和3,2021,13115,15,杉並区,Suginami-ku,249337,67412,784,182,2908,12856,-,0,171,330,47679,50,1545,3381,783,54443,20237,1506,92,16763,11863,2369,3982
令和3,2021,13116,16,豊島区,Toshima-ku,148944,34531,450,86,1383,8191,-,0,99,131,33612,26,1243,2428,563,41311,11815,363,82,7129,932,4049,520
令和3,2021,13117,17,北区,Kita-ku,173804,31140,481,79,1270,8070,10,0,106,283,55121,27,1441,2155,551,42840,12235,598,36,6751,3536,3316,3757
令和3,2021,13118,18,荒川区,Arakawa-ku,112984,18563,289,47,748,4976,-,0,63,198,41014,19,1163,1330,334,30016,8409,292,21,86,2338,1938,1140
令和3,2021,13119,19,板橋区,Itabashi-ku,260710,48172,822,125,1997,13119,5,0,181,433,72422,54,2381,3270,839,72746,19356,577,121,8036,9608,2741,3705
令和3,2021,13120,20,練馬区,Nerima-ku,315338,69804,1069,183,2923,16210,-,0,235,569,91212,69,1310,3722,909,79645,28752,352,109,4536,4720,2776,6232
令和3,2021,13121,21,足立区,Adachi-ku,350933,51670,1072,127,2039,15485,2,0,238,716,104235,81,2101,3743,767,101760,26946,1181,187,29621,5572,3202,188
令和3,2021,13122,22,葛飾区,Katsushika-ku,238375,35201,716,90,1433,10092,-,0,159,457,77952,42,1498,2251,507,60075,17691,265,301,10470,14913,4263,-
令和3,2021,13123,23,江戸川区,Edogawa-ku,358591,56493,1085,144,2296,15340,-,0,241,666,98150,80,1920,2938,763,97169,25248,719,169,27837,24102,3230,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成29～令和3年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,
