年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others  ,田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land  ,免税点未満 Land under the legal tax exemption limit  ,
平成30,2018,0,13000,,東京都,Tokyo-to,102931.49,57666,2870.74,3334.87,50045.26,1415.14,283.66,7858.27,24651.06,1795.86,12.06,4599.72,6064.82,
平成31,2019,0,13000,,東京都,Tokyo-to,102748.64,57780.34,2875.56,3337.28,50138.75,1428.73,278.63,7749.26,24461.53,1792.55,12.06,4591.86,6082.37,
令和2,2020,0,13000,,東京都,Tokyo-to,102575.92,57864.18,2880.09,3344.23,50216.28,1423.59,274.06,7650.04,24317.36,1792.13,11.94,4579.15,6087.06,
令和3,2021,0,13000,,東京都,Tokyo-to,102429.13,57943.58,2907.94,3152.33,50468.78,1414.51,268.18,7551.04,24207.17,1767.38,11.75,4534.98,6145.02,
令和4,2022,0,13000,,東京都,Tokyo-to,102293.37,58036.46,2912.58,3173.97,50537.72,1412.21,263.72,7448.27,24101.35,1767.13,11.75,4523.82,6140.92,
令和4,2022,1,13100,,区部,All ku          　,33196.93,31618.97,2022.07,1419.46,28176.24,1.2,0.42,438.41,13.33,-,5.85,1106.29,13.68,
令和4,2022,3,13101,1,千代田区,Chiyoda-ku,406.02,365.19,317.16,-,48.03,-,-,-,-,-,-,40.82,0.01,
令和4,2022,3,13102,2,中央区,Chuo-ku,394.66,393.9,247.72,8.89,137.29,-,-,-,-,-,-,0.74,0.02,
令和4,2022,3,13103,3,港区,Minato-ku,998.63,934.27,306.51,20.94,606.82,-,-,-,-,-,0.06,64.26,0.04,
令和4,2022,3,13104,4,新宿区,Shinjuku-ku,1016.45,986.04,119.62,0.68,865.74,-,-,-,-,-,-,30.22,0.19,
令和4,2022,3,13105,5,文京区,Bunkyo-ku,594.77,587.52,71.59,4.64,511.29,-,-,-,-,-,-,7.06,0.19,
令和4,2022,3,13106,6,台東区,Taito-ku,480.29,453.29,249.95,-,203.34,-,-,-,-,-,-,26.87,0.13,
令和4,2022,3,13107,7,墨田区,Sumida-ku,708.77,683.75,47.45,75.71,560.59,-,-,-,-,-,-,24.77,0.25,
令和4,2022,3,13108,8,江東区,Koto-ku,1561.02,1494.12,78.36,374.27,1041.49,-,-,-,-,-,4.72,61.84,0.34,
令和4,2022,3,13109,9,品川区,Shinagawa-ku,1360.8,1149.86,78.49,136.39,934.98,-,-,-,-,-,-,210.61,0.33,
令和4,2022,3,13110,10,目黒区,Meguro-ku,927.43,911.19,31.72,-,879.47,-,-,2.09,0.55,-,-,13.38,0.22,
令和4,2022,3,13111,11,大田区,Ota-ku,2578.02,2500.73,31.61,228.62,2240.49,0.01,-,2.63,1.09,-,0.15,72.56,0.86,
令和4,2022,3,13112,12,世田谷区,Setagaya-ku,3673.3,3508.2,22.88,-,3485.13,0.19,-,89.63,4.97,-,-,68.86,1.64,
令和4,2022,3,13113,13,渋谷区,Shibuya-ku,848.03,812.14,126.57,-,685.57,-,-,-,-,-,-,35.8,0.09,
令和4,2022,3,13114,14,中野区,Nakano-ku,1035.14,1006.28,17.58,-,988.7,-,-,2.05,0.13,-,-,26.16,0.52,
令和4,2022,3,13115,15,杉並区,Suginami-ku,2237.2,2164.29,17.51,-,2146.74,0.04,-,33.93,1.12,-,0.16,36.85,0.85,
令和4,2022,3,13116,16,豊島区,Toshima-ku,816.2,778.3,91.89,-,686.41,-,-,-,-,-,-,37.55,0.35,
令和4,2022,3,13117,17,北区,Kita-ku,1045.14,954.19,20.19,52.47,881.53,-,-,0.3,0.73,-,-,89.35,0.57,
令和4,2022,3,13118,18,荒川区,Arakawa-ku,585.86,536.48,16.1,71.04,449.34,-,-,-,-,-,-,49.11,0.27,
令和4,2022,3,13119,19,板橋区,Itabashi-ku,1848.76,1808.07,15.24,132,1660.78,0.05,-,12.47,2.01,-,-,25.33,0.88,
令和4,2022,3,13120,20,練馬区,Nerima-ku,3090.74,2865.59,7.08,-,2858.03,0.48,-,181.81,2.71,-,-,37.88,2.75,
令和4,2022,3,13121,21,足立区,Adachi-ku,2848.42,2735.18,35.1,148.33,2551.66,0.09,0.37,42.56,0.02,-,-,68.91,1.38,
令和4,2022,3,13122,22,葛飾区,Katsushika-ku,1739.44,1658.31,38.25,55.15,1564.86,0.05,-,29.51,-,-,0.04,50.6,0.98,
令和4,2022,3,13123,23,江戸川区,Edogawa-ku,2401.83,2332.1,33.5,110.32,2187.99,0.29,0.04,41.4,-,-,0.72,26.75,0.82,
