年度,Fiscal year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Carload freight／発 Departure,車扱貨物 Carload freight／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
平成29,2017,総数,Total,,,,2399560,3129921,82625,681949,2316935,2447972
平成30,2018,総数,Total,,,,2257532,2918510,82811,668227,2174721,2250283
令和元,2019,総数,Total,,,,2255925,2831376,78781,645315,2177144,2186061
令和2,2020,総数,Total,,,,2129664,2561545,74079,595712,2055585,1965833
令和3,2021,総数,Total,,,,2043450,2522262,69329,618434,1974121,1903828
令和3,2021,うち区部,Ku area only,,,,1956496,1881887,5057,9714,1951439,1872173
令和3,2021,東海道本線,Tokaido Line,,,※,1318077,1283139,580,1624,1317497,1281515
令和3,2021,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
令和3,2021,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1318077,1283139,580,1624,1317497,1281515
令和3,2021,中央線,Chuo Line,,,,75554,585279,52872,553624,22682,31655
令和3,2021,中央線,Chuo Line,中野,Nakano,※,-,-,-,-,-,-
令和3,2021,中央線,Chuo Line,八王子,Hachioji,,75554,585279,52872,553624,22682,31655
令和3,2021,青梅線,Ome Line,,,,11400,55096,11400,55096,-,-
令和3,2021,青梅線,Ome Line,拝島,Haijima,,11400,55096,11400,55096,-,-
令和3,2021,東北本線,Tohoku Line,,,※,-,-,-,-,-,-
令和3,2021,東北本線,Tohoku Line,田端操,Tabataso,,-,-,-,-,-,-
令和3,2021,東北本線,Tohoku Line,北王子,Kitaoji,,-,-,-,-,-,-
令和3,2021,常磐線,Joban Line,,,※,634342,597058,400,6400,633942,590658
令和3,2021,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
令和3,2021,常磐線,Joban Line,綾瀬,Ayase,,400,6400,400,6400,-,-
令和3,2021,常磐線,Joban Line,隅田川,Sumidagawa,,633942,590658,-,-,633942,590658
令和3,2021,総武線,Sobu Line,,,※,4077,1690,4077,1690,-,-
令和3,2021,総武線,Sobu Line,新小岩操,Shinkoiwaso,,2462,-,2462,-,-,-
令和3,2021,総武線,Sobu Line,越中島,Etchujima,,1615,1690,1615,1690,-,-
,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成29～令和3年度) 4-16  VOLUME OF FREIGHT TRANSPORTED BY JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2017-2021 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社営業部 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,
