年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female,,,,,,
0,総数,Total,127649,66583,61066,,,,,,
2,0～9,0-9,229,128,101,,,,,,
3,0,0,160,89,71,,,,,,
3,1,1,17,8,9,,,,,,
3,2,2,11,4,7,,,,,,
3,3,3,11,9,2,,,,,,
3,4,4,6,3,3,,,,,,
3,5,5,6,4,2,,,,,,
3,6,6,4,4,-,,,,,,
3,7,7,2,1,1,,,,,,
3,8,8,5,1,4,,,,,,
3,9,9,7,5,2,,,,,,
2,10～19,10--19,168,103,65,,,,,,
3,10,10,7,5,2,,,,,,
3,11,11,7,5,2,,,,,,
3,12,12,9,9,-,,,,,,
3,13,13,18,9,9,,,,,,
3,14,14,12,9,3,,,,,,
3,15,15,19,10,9,,,,,,
3,16,16,21,14,7,,,,,,
3,17,17,31,17,14,,,,,,
3,18,18,18,8,10,,,,,,
3,19,19,26,17,9,,,,,,
2,20～29,20-29,547,310,237,,,,,,
3,20,20,40,21,19,,,,,,
3,21,21,41,24,17,,,,,,
3,22,22,62,38,24,,,,,,
3,23,23,57,30,27,,,,,,
3,24,24,56,30,26,,,,,,
3,25,25,64,32,32,,,,,,
3,26,26,61,36,25,,,,,,
3,27,27,52,31,21,,,,,,
3,28,28,48,32,16,,,,,,
3,29,29,66,36,30,,,,,,
2,30～39,30-39,819,519,300,,,,,,
3,30,30,54,37,17,,,,,,
3,31,31,47,22,25,,,,,,
3,32,32,59,40,19,,,,,,
3,33,33,76,49,27,,,,,,
3,34,34,86,43,43,,,,,,
3,35,35,97,67,30,,,,,,
3,36,36,84,56,28,,,,,,
3,37,37,88,59,29,,,,,,
3,38,38,111,73,38,,,,,,
3,39,39,117,73,44,,,,,,
2,40～49,40-49,2319,1446,873,,,,,,
3,40,40,116,64,52,,,,,,
3,41,41,138,88,50,,,,,,
3,42,42,140,75,65,,,,,,
3,43,43,199,114,85,,,,,,
3,44,44,188,111,77,,,,,,
3,45,45,230,151,79,,,,,,
3,46,46,232,146,86,,,,,,
3,47,47,338,220,118,,,,,,
3,48,48,356,225,131,,,,,,
3,49,49,382,252,130,,,,,,
2,50～59,50-59,5506,3647,1859,,,,,,
3,50,50,400,254,146,,,,,,
3,51,51,446,289,157,,,,,,
3,52,52,504,324,180,,,,,,
3,53,53,585,372,213,,,,,,
3,54,54,519,353,166,,,,,,
3,55,55,539,357,182,,,,,,
3,56,56,607,416,191,,,,,,
3,57,57,614,412,202,,,,,,
3,58,58,622,416,206,,,,,,
3,59,59,670,454,216,,,,,,
2,60～69,60-69,9960,6970,2990,,,,,,
3,60,60,709,508,201,,,,,,
3,61,61,705,515,190,,,,,,
3,62,62,796,542,254,,,,,,
3,63,63,857,598,259,,,,,,
3,64,64,841,598,243,,,,,,
3,65,65,955,670,285,,,,,,
3,66,66,1064,742,322,,,,,,
3,67,67,1124,793,331,,,,,,
3,68,68,1306,905,401,,,,,,
3,69,69,1603,1099,504,,,,,,
2,70～79,70-79,26691,17691,9000,,,,,,
3,70,70,1830,1323,507,,,,,,
3,71,71,2162,1533,629,,,,,,
3,72,72,2637,1833,804,,,,,,
3,73,73,2892,1969,923,,,,,,
3,74,74,2648,1785,863,,,,,,
3,75,75,1944,1265,679,,,,,,
3,76,76,2418,1590,828,,,,,,
3,77,77,3115,1996,1119,,,,,,
3,78,78,3335,2096,1239,,,,,,
3,79,79,3710,2301,1409,,,,,,
2,80～89,80-89,46101,24491,21610,,,,,,
3,80,80,3841,2407,1434,,,,,,
3,81,81,3736,2217,1519,,,,,,
3,82,82,3694,2139,1555,,,,,,
3,83,83,4165,2344,1821,,,,,,
3,84,84,4585,2536,2049,,,,,,
3,85,85,5197,2743,2454,,,,,,
3,86,86,5105,2623,2482,,,,,,
3,87,87,5115,2581,2534,,,,,,
3,88,88,5377,2521,2856,,,,,,
3,89,89,5286,2380,2906,,,,,,
2,90～99,90-99,32590,10878,21712,,,,,,
3,90,90,4964,2103,2861,,,,,,
3,91,91,4673,1800,2873,,,,,,
3,92,92,4362,1595,2767,,,,,,
3,93,93,4126,1412,2714,,,,,,
3,94,94,3670,1200,2470,,,,,,
3,95,95,3204,949,2255,,,,,,
3,96,96,2582,706,1876,,,,,,
3,97,97,2069,474,1595,,,,,,
3,98,98,1673,380,1293,,,,,,
3,99,99,1267,259,1008,,,,,,
2,100～109,100-109,2711,398,2313,,,,,,
3,100,100,935,148,787,,,,,,
3,101,101,643,106,537,,,,,,
3,102,102,406,58,348,,,,,,
3,103,103,305,42,263,,,,,,
3,104,104,176,18,158,,,,,,
3,105,105,105,12,93,,,,,,
3,106,106,74,8,66,,,,,,
3,107,107,38,4,34,,,,,,
3,108,108,18,2,16,,,,,,
3,109,109,11,-,11,,,,,,
2,110～113,110-113,7,1,6,,,,,,
3,110,110,5,1,4,,,,,,
3,111,111,2,-,2,,,,,,
3,112,112,-,-,-,,,,,,
3,113,113,-,-,-,,,,,,
3,114～,114- and over,-,-,-,,,,,,
3,不詳,Unknown age,1,1,-,,,,,,
1,（再掲) 0～14,(relisted) 0-14,282,165,117,,,,,,
1,（再掲) 15～64,(relisted) 15-64,13214,8749,4465,,,,,,
1,（再掲) 65～ 1),(relisted) 65 and over 1),114153,57669,56484,,,,,,
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（令和3年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2021 ),,,,,,,,,,,
「人口動態調査」 による。 数字は日本における日本人に関するもので， その年に発生し， 翌年1月末 までに届け出のあったものを，住所地により表章した。,,,,,,,,,,,
Data are based on the Vital Statistics Survey. Figures are only for Japanese nationals in Japan. Occurrences during the year stated that had been reported by the end of the following January and by place of residence. ,,,,,,,,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,,,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,,,,,,,
