年度,Fiscal year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成29,2017,総数,Total,,,,,,3226788,1917000,1309787,3208970,1905917,1303052
平成30,2018,総数,Total,,,,,,3280132,1949811,1330324,3260021,1938555,1321467
令和元,2019,総数,Total,,,,,,3273051,1970461,1302590,3252815,1959105,1293710
令和2,2020,総数,Total,,,,,,2199063,1350813,848250,2184675,1342639,842037
令和3,2021,総数,Total,,,,,,2403476,1393990,1009485,2387228,1384992,1002234
令和3,2021,区部,Ku area only,,,,,,1914404,1105060,809342,1898505,1096062,802443
令和3,2021,小田急電鉄,Odakyu Electric Railway,,,,,,261436,153482,107954,261746,153482,108264
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,,,,247522,144742,102780,248167,144742,103425
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,新宿,Shinjuku,※,65501,39460,26041,64279,39460,24819
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,南新宿,Minami-Shinjuku,※,553,160,392,692,160,532
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,参宮橋,Sangubashi,※,1734,751,983,1819,751,1068
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木八幡,Yoyogi-Hachiman,※,2984,1477,1507,3163,1477,1686
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木上原,Yoyogi-Uehara,※,36872,22377,14495,38896,22377,16520
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,東北沢,Higashi-Kitazawa,※,1148,453,695,1151,453,698
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,下北沢,Shimo-Kitazawa,※,17619,8442,9178,17616,8442,9174
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,世田谷代田,Setagaya-Daita,※,1462,637,825,1451,637,815
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,梅ヶ丘,Umegaoka,※,5027,3087,1939,4964,3087,1877
令和3,2021,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,豪徳寺,Gotokuji,※,4151,2191,1960,4034,2191,1842
