年次,Year,総数 Total／隻数 Number,総数 Total／総トン数 GT,外航船 Seagoing ships／計 Total／隻数 Number,外航船 Seagoing ships／計 Total／総トン数 GT,外航船 Seagoing ships／外国船 Foreign ships／隻数 Number,外航船 Seagoing ships／外国船 Foreign ships／総トン数 GT,外航船 Seagoing ships／日本船 Japanese ships／隻数 Number,外航船 Seagoing ships／日本船 Japanese ships／総トン数 GT,内航船 Coasters／隻数 Number,内航船 Coasters／総トン数 GT
平成29,2017,23604,174745700,5355,130776662,5328,128481018,27,2295644,18249,43969038
平成30,2018,24374,182980285,5504,137427504,5482,135669057,22,1758447,18870,45552781
平成31･令和元,2019,23382,179911843,5247,134062240,5230,132835372,17,1226868,18135,45849603
令和2,2020,21154,167331825,4945,123024072,4937,122392405,8,631667,16209,44307753
令和3,2021,21575,145768880,4573,100089660,4565,99434084,8,655576,17002,45679220
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,
4-19  入港船舶隻数及び総トン数 （平成29～令和3年）（東京港） 4-19 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2017-2021 )( Port of Tokyo ),,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,
