年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税 交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,特別地方消費税交付金 Special local consumption tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,自動車税環境性能割交付金  Motor vehicle tax (environmental excite),法人事業税交付金 Corporate business tax allocations,地方特例交付金 Special local grants,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,国有提供施設等所在市町村助成交付金 Subsidies to municipalities where national facilities are located,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成29,2017,13200,,市部,All shi,1580644,719510,6495,1295,10662,85522,407,-,3724,…,…,3100,36723,459,15918,16245,14941,271306,2903,206855,6399,3059,50982,44560,16159,63421
平成30,2018,13200,,市部,All shi,1589009,726643,6537,1366,8250,72960,403,-,3895,…,…,3561,40408,433,17119,16426,15164,268864,2887,211017,6288,2686,42026,50402,17616,74058
令和元,2019,13200,,市部,All shi,1631301,737307,6658,1022,8205,69832,401,-,1956,690,…,9999,42490,425,13097,14924,16061,284002,3027,225162,3864,3103,47537,46667,18734,76138
令和2,2020,13200,,市部,All shi,2151404,733224,6764,966,10090,87815,356,-,0,1182,2928,4722,42416,473,7550,12032,15916,776891,3012,250068,4053,3725,35960,47828,23867,79566
令和3,2021,13200,,市部,All shi,1942518,728180,6897,894,14253,96301,413,-,0,1524,8327,7943,65035,465,8520,12843,16052,488902,3183,244328,6120,3384,54891,70512,27597,75953
令和3,2021,13201,1,八王子市,Hachioji-shi,246004,89777,1054,104,1668,13479,93,-,0,233,1110,1242,8968,73,696,1656,2371,67478,-,29920,184,186,701,8025,1488,15498
令和3,2021,13202,2,立川市,Tachikawa-shi,96591,39938,283,38,609,4549,-,-,0,63,725,457,24,24,297,722,604,25294,425,10504,80,93,524,6562,724,4051
令和3,2021,13203,3,武蔵野市,Musashino-shi,80799,39928,198,51,818,3650,-,-,-,44,507,260,14,12,308,760,700,14775,-,8337,1544,92,2297,4274,517,1712
令和3,2021,13204,4,三鷹市,Mitaka-shi,80516,38399,273,52,829,4287,-,-,0,60,359,259,27,19,481,771,488,18950,-,10171,757,80,44,2933,451,828
令和3,2021,13205,5,青梅市,Ome-shi,62081,19400,294,22,352,3187,61,-,0,63,249,275,4974,19,473,408,559,15677,-,7634,464,38,599,1814,3456,2063
